triple_id,head_id,head,relation,value,chapter_no,chunk_id,subj_suspect
T0049,1019,সাধারণ নাম,প্রকার,বৈজ্ঞানিক নাম,1,9-10-biology_secondary-1-47,False
T0050,471,দেহের বাহ্যিক বর্ণনার বিষয়,অংশ,বহিঃ অঙ্গসংস্থান,1,9-10-biology_secondary-1-8,False
T0051,469,দেহের অভ্যন্তরীণ বর্ণনার বিষয়,অংশ,অন্তঃ অঙ্গসংস্থান,1,9-10-biology_secondary-1-8,False
T0052,959,শারীরবিদ্যা,প্রতিরোধ,জৈবরাসায়নিক কার্যাদি,1,9-10-biology_secondary-1-9,False
T0053,1110,হিস্টোলজি,কাজ,"টিস্যুসমূহের গঠন, বিন্যাস এবং কার্যাবলি",1,9-10-biology_secondary-1-9,False
T0054,786,ভ্ূণবিদ্যা,কাজ,"জনন কোষের উৎপত্তি, নিষিক্ত জাইগোট থেকে ভ্রণের সৃষ্টি, গঠন, পরিস্ফুটন, বিকাশ",1,9-10-biology_secondary-1-9,False
T0055,424,তন্দ্র,অংশ,ভ্রুণ ও শিশু ধারক অঙ্গ,2,9-10-biology_secondary-2-101,False
T0056,633,প্রাণী,কাজ,প্রজনন ক্ষমতা অর্জন,2,9-10-biology_secondary-2-101,False
T0057,610,প্রজাতির ধারা,অবস্থান,অব্যাহত থাকে,2,9-10-biology_secondary-2-101,False
T0058,822,মানুষ,কারণ,একলিঙ্গ প্রাণী,2,9-10-biology_secondary-2-101,False
T0059,574,পুরুষ মানুষের দেহ,অংশ,পুরুষ প্রজননতন্দ্র,2,9-10-biology_secondary-2-101,False
T0060,494,নারীর দেহ,অংশ,স্ত্রী প্রজননতন্দ্র,2,9-10-biology_secondary-2-101,False
T0061,442,ত্বক,অবস্থান,দেহের বাইরে,2,9-10-biology_secondary-2-102,False
T0062,442,ত্বক,কাজ,বাইরের আঘাত এবং জীবাণুর আক্রমণ থেকে দেহ রক্ষণ,2,9-10-biology_secondary-2-102,False
T0063,442,ত্বক,কাজ,জলীয় অংশকে দেহের ভিতর সংরক্ষণ,2,9-10-biology_secondary-2-102,False
T0064,496,নালিহীন বা অন্তঃক্ষরা গ্রন্থি,অবস্থান,প্রাণিদেহে,2,9-10-biology_secondary-2-103,False
T0065,301,গ্রন্থি,কাজ,রসকে হরমোন বলে,2,9-10-biology_secondary-2-103,False
T0066,301,গ্রন্থি,পরিমাণ,২.৫ অণুবীক্ষণ যন্ত্র,2,9-10-biology_secondary-2-103,False
T0067,179,কাচের স্টেজ,কারণ,দুটো ক্লিপ লাগানো,2,9-10-biology_secondary-2-105,False
T0068,1073,স্তস্তের উপরে,অংশ,একটি টানা নল,2,9-10-biology_secondary-2-105,False
T0069,387,টানা নলের বাহুতে,কারণ,লেঙ্গ ধরে রাখার জন্য আংটা থাকে,2,9-10-biology_secondary-2-105,False
T0070,26,অণুবীক্ষণ যন্ত্র,অংশ,চিত্র,2,9-10-biology_secondary-2-106,False
T0071,1068,স্ট্যান্ড,অবস্থান,বেজ-এর উপর দণ্ডায়মান উল্লম্ব পিলার,2,9-10-biology_secondary-2-106,False
T0072,81,আর্ম,কারণ,উপরের দিকে বাঁকানো,2,9-10-biology_secondary-2-107,False
T0073,661,ফুট,কারণ,নিচের দিকে পাটাতনের মতো,2,9-10-biology_secondary-2-107,False
T0074,1067,স্টেজ,অবস্থান,আর্ম-এর নিচের অংশে,2,9-10-biology_secondary-2-107,False
T0075,691,বড়ি টিউব,কারণ,অণুবীক্ষণ যন্ত্রের উপরের দিককার নলাকার অংশ,2,9-10-biology_secondary-2-107,False
T0076,524,নোজপিস,অবস্থান,বড়ি টিউবের নিচের দিকে,2,9-10-biology_secondary-2-108,False
T0077,941,লেস,প্রকার,৩টি,2,9-10-biology_secondary-2-108,False
T0078,657,ফাইন আ্যাডজাস্টমেন্ট নব,কাজ,স্লাইডকে লেঙ্গের ফোকাস দূরত্বের ভিতরে বা বাইরে নেওয়া,2,9-10-biology_secondary-2-109,False
T0079,657,ফাইন আ্যাডজাস্টমেন্ট নব,কাজ,স্টেজকে ঘুরিয়ে স্লাইডকে লেঙ্গের ফোকাস দূরত্বের ভিতরে বা বাইরে নেওয়া,2,9-10-biology_secondary-2-109,False
T0080,657,ফাইন আ্যাডজাস্টমেন্ট নব,কারণ,ফোকাসের সুক্ষ সমন্বয় করার জন্য,2,9-10-biology_secondary-2-109,False
T0081,639,প্রোটোপ্লাজম,অবস্থান,কোষের ভিতরে,2,9-10-biology_secondary-2-11,False
T0082,639,প্রোটোপ্লাজম,অংশ,সবকিছু,2,9-10-biology_secondary-2-11,False
T0083,212,কোষবিল্লী,অংশ,প্রোটোপ্লাজম,2,9-10-biology_secondary-2-11,False
T0084,210,কোষঝিল্লি,অংশ,প্রোটোপ্লাজম,2,9-10-biology_secondary-2-11,False
T0085,1015,সাইটোপ্লাজমীয় অঙ্গাণু,অবস্থান,কোষবিল্লীর আড়ালে,2,9-10-biology_secondary-2-11,False
T0086,506,নিউক্লিয়াস,অবস্থান,কোষবিল্লীর আড়ালে,2,9-10-biology_secondary-2-11,False
T0087,1023,সাবস্টেজ,অবস্থান,স্টেজের নিচে,2,9-10-biology_secondary-2-111,False
T0088,1023,সাবস্টেজ,কারণ,উঠা-নামা করানো যায়,2,9-10-biology_secondary-2-111,False
T0089,1023,সাবস্টেজ,কারণ,একটি কনডেলার লাগানো থাকে,2,9-10-biology_secondary-2-111,False
T0090,166,কনডেলার,অংশ,একটি ডায়াঙ্রাম,2,9-10-biology_secondary-2-111,False
T0091,166,কনডেলার,অংশ,একটি পর্দা,2,9-10-biology_secondary-2-111,False
T0092,166,কনডেলার,কারণ,আলো কনডেলারের ভিতরে প্রবেশ করবে তা নির্ধারণ করে,2,9-10-biology_secondary-2-111,False
T0093,205,কোষ বা টিস্যুর পাতলা স্তর,অবস্থান,জলীয় মাধ্যমে,2,9-10-biology_secondary-2-114,False
T0094,204,কোষ বা টিস্যু,অবস্থান,চিহ্নিত করা মুশকিল,2,9-10-biology_secondary-2-114,False
T0095,426,তরঙ্গ দৈর্ঘ্য,পরিমাণ,400-700 ন্যানোমিটার,2,9-10-biology_secondary-2-116,False
T0096,1014,সাইটোপ্লাজম,অবস্থান,অবস্থিত,2,9-10-biology_secondary-2-116,False
T0097,26,অণুবীক্ষণ যন্ত্র,কাজ,অঙ্গাণুগুলো স্পষ্ট দেখা দিতে পারে,2,9-10-biology_secondary-2-118,False
T0098,122,ইলেক্ট্রন তরঙ,কাজ,বিবর্ধন করা হয়,2,9-10-biology_secondary-2-118,False
T0099,123,ইলেক্ট্রন মাইক্রোস্কোপ,প্রকার,অণুবীক্ষণ যন্ত্র,2,9-10-biology_secondary-2-118,False
T0100,203,কোষ,অবস্থান,কোষঝিল্পি জুড়ে কোষের সীমানা এবং কেন্দ্রে নিউক্লিয়াস,2,9-10-biology_secondary-2-126,False
T0101,203,কোষ,কারণ,কোষগুলো ভালো করে ছড়ানো না থাকলে,2,9-10-biology_secondary-2-126,False
T0102,924,লাইসোজোম,কাজ,জীবাণু ভক্ষণ,2,9-10-biology_secondary-2-128,False
T0103,1014,সাইটোপ্লাজম,অংশ,সাইটোগ্লাজম,2,9-10-biology_secondary-2-13,False
T0104,16,অঙ্গাণু,প্রকার,"ঝিল্লিযুক্ত সাইটোপ্লাজমীয় অঙ্গাণু, বিল্লিবিহীন অঙ্গাণু",2,9-10-biology_secondary-2-13,False
T0105,355,জীব,প্রকার,এককোথষী জীব,2,9-10-biology_secondary-2-133,False
T0106,355,জীব,প্রকার,বহুকোষী জীব,2,9-10-biology_secondary-2-133,False
T0107,822,মানুষ,প্রকার,বহুকোষী জীব,2,9-10-biology_secondary-2-133,False
T0108,688,বট গাছ,প্রকার,বহুকোষী জীব,2,9-10-biology_secondary-2-133,False
T0109,435,তিমি মাছ,প্রকার,বহুকোষী জীব,2,9-10-biology_secondary-2-133,False
T0110,223,ক্যারিওকাইনেসিস,অবস্থান,নিউক্লিয়াসের বিভাজন,2,9-10-biology_secondary-2-137,False
T0111,1012,সাইটোকাইনেসিস,অবস্থান,সাইটোগ্লাজমের বিভাজন,2,9-10-biology_secondary-2-137,False
T0112,203,কোষ,কাজ,নিউক্লিয়াসে কিছু প্রস্তুতিমূলক কাজ হয়,2,9-10-biology_secondary-2-137,False
T0113,115,ইন্টারফেজ,অবস্থান,বিভাজন শুরুর আগে,2,9-10-biology_secondary-2-137,False
T0114,806,মাইটোকন্ডিয়ার প্রধান কাজ,কাজ,জীবের শ্বসনকার্যে সাহায্য করা,2,9-10-biology_secondary-2-14,False
T0115,1084,স্পিন্ডল যন্ত্র,অংশ,দুই মেরু,2,9-10-biology_secondary-2-140,False
T0116,1085,স্পিন্ডল যন্ত্রের দুই মেরুর মধ্যবর্তী স্থান,কারণ,ইকুয়েটর বা বিষুবীয় অঞ্চল,2,9-10-biology_secondary-2-140,True
T0117,1083,স্পিন্ডল তন্তু,অবস্থান,মেরু থেকে অপর মেরু পর্যন্ত,2,9-10-biology_secondary-2-141,False
T0118,1086,স্পিন্ডলযন্ত্রের কিছু তন্তু,অবস্থান,স্পিন্ডল তন্তু সাথে,2,9-10-biology_secondary-2-141,False
T0119,66,আকর্ষণ তন্তু,কারণ,স্পিন্ডলযন্ত্রের কিছু তন্তুর সাথে সংযুক্ত হয়,2,9-10-biology_secondary-2-141,False
T0120,235,ক্রোমোজোম,অবস্থান,স্পিন্ডলযন্ত্রের কিছু তন্তুর সাথে সংযুক্ত হয়,2,9-10-biology_secondary-2-141,False
T0121,236,ক্রোমোজোমাল তন্তু,কারণ,ক্রোমোজোমের সাথে এই তন্তুগুলি সংযুক্ত বলে,2,9-10-biology_secondary-2-141,False
T0122,235,ক্রোমোজোম,অবস্থান,বিষুবীয় অঞ্চলে বিন্যস্ত হতে থাকে,2,9-10-biology_secondary-2-141,False
T0123,505,নিউক্লিয়ার মেমব্রেন,অবস্থান,কোষের নিউক্লিয়াসে,2,9-10-biology_secondary-2-141,False
T0124,503,নিউক্লিওলাস,অবস্থান,কোষের নিউক্লিয়াসে,2,9-10-biology_secondary-2-141,False
T0125,631,প্রাণিকোষ,কাজ,স্পিন্ডল যন্ত্র সৃষ্টি ছাড়াও পূর্বে বিক্্ত সেন্ট্রিওল দুটি দুই মেরুতে অবস্থান করে,2,9-10-biology_secondary-2-141,False
T0126,1051,সেন্ট্রিওল,অবস্থান,প্রাণিকোষে,2,9-10-biology_secondary-2-141,False
T0127,893,রশ্মি,কারণ,সেদ্ট্রিওল দুটির চারদিক থেকে বিচ্ছুরিত হয়,2,9-10-biology_secondary-2-141,False
T0128,79,আযাস্টার-রে,কারণ,রশ্মি বিচ্ছুরিত হয়,2,9-10-biology_secondary-2-141,False
T0129,997,সব ক্রোমোজোম সিপিন্ডল যন্ত্রের বিষুবীয় অঞ্চলে,অবস্থান,অবস্থান,2,9-10-biology_secondary-2-143,True
T0130,612,প্রতিটি ক্রোমোজোমের সেস্ট্রোমিয়ার বিষুবীয় অঞ্চলে,অবস্থান,অবস্থান,2,9-10-biology_secondary-2-143,False
T0131,611,প্রতিটি ক্রোমোজোমের বাহু দুটি,অবস্থান,মেরুমুখী হয়ে অবস্থান,2,9-10-biology_secondary-2-143,False
T0132,237,ক্রোমোটিড,অবস্থান,অপত্য ক্রোমোজোম,2,9-10-biology_secondary-2-144,False
T0133,40,অপত্য ক্রোমোজোম,কারণ,সেস্্রোমিয়ার থাকে,2,9-10-biology_secondary-2-144,False
T0134,40,অপত্য ক্রোমোজোম,কাজ,বিষুবীয় অঞ্চল থেকে পরস্পর বিপরীত মেরুর দিকে সরে যাওয়া,2,9-10-biology_secondary-2-144,False
T0135,40,অপত্য ক্রোমোজোম,অবস্থান,মেরু অভিমুখী চলনে সেস্ট্রোমিয়ার অগ্রগামী,2,9-10-biology_secondary-2-145,False
T0136,40,অপত্য ক্রোমোজোম,অবস্থান,বাত্ধদ্বয় অনুগামী,2,9-10-biology_secondary-2-145,False
T0137,235,ক্রোমোজোম,অবস্থান,"ছ, 1, ] বা 17-এর মতো আকার ধারণ",2,9-10-biology_secondary-2-145,False
T0138,1054,সেন্ট্রোমিয়ার,অবস্থান,অনুযায়ী ক্রোমোজোমগুলো আকার,2,9-10-biology_secondary-2-145,False
T0139,1054,সেন্ট্রোমিয়ার,কারণ,ক্রোমোজোমগুলো আকার,2,9-10-biology_secondary-2-145,False
T0140,40,অপত্য ক্রোমোজোম,অবস্থান,স্পিন্ডলযন্ত্রের মেরুপ্রান্তে,2,9-10-biology_secondary-2-145,False
T0141,740,বিষুবীয় তলের জালিকার অংশগুলো,অবস্থান,টেলোফেজ পর্যায়ের শেষে বিষুবীয় তলে,2,9-10-biology_secondary-2-148,False
T0142,347,জালিকার অংশগুলো,কাজ,কোষপ্লেট গঠন,2,9-10-biology_secondary-2-148,False
T0143,1013,সাইটোগ্লাজমিক অঙ্গাণুসমূহ,কাজ,সমবণ্টন,2,9-10-biology_secondary-2-148,False
T0144,218,কোষৰিল্লি,অবস্থান,স্পিন্ডলযন্ত্রের বিষুবীয় অঞ্চল বরাবর,2,9-10-biology_secondary-2-148,False
T0145,218,কোষৰিল্লি,কাজ,গভীরতর হয়ে একত্রে মিলিত হয়,2,9-10-biology_secondary-2-148,False
T0146,295,গিঁট,অবস্থান,সেন্ট্রোমিয়ারের মডেল,2,9-10-biology_secondary-2-150,False
T0147,725,বাহু,অংশ,চারটি,2,9-10-biology_secondary-2-150,False
T0148,725,বাহু,কাজ,ক্রোমাটিডের দৈর্ঘ্য সমান,2,9-10-biology_secondary-2-150,False
T0149,725,বাহু,অবস্থান,সেন্ট্রোমিয়ার থেকে,2,9-10-biology_secondary-2-150,False
T0150,481,ধাপ,অবস্থান,মাইটোকন্ড্রিয়ার মধ্যে,2,9-10-biology_secondary-2-16,False
T0151,980,শ্বসনের ধাপ,কাজ,ক্রেবস চক্রে অংশগ্রহণকারী উৎসেচক উপস্থিত থাকায় বিক্রিয়াগুলো মাইটোকন্ড্রিয়াতেই সম্পন্ন হয়,2,9-10-biology_secondary-2-16,False
T0152,231,ক্রেবস চক্রের ধাপ,কাজ,শত্তি উৎপাদন,2,9-10-biology_secondary-2-16,False
T0153,805,মাইটোকন্ডিয়া,কারণ,কোষের শত্তি উৎপাদন কেন্দ্র বা পাওয়ার হাউস বলা হয়,2,9-10-biology_secondary-2-16,False
T0154,642,প্লাস্টিড,কাজ,খাদ্য প্রস্তুত করা,2,9-10-biology_secondary-2-18,False
T0155,642,প্লাস্টিড,কাজ,খাদ্য সঞ্চয় করা,2,9-10-biology_secondary-2-18,False
T0156,642,প্লাস্টিড,কাজ,উদ্ভিদদেহকে বর্ণময় এবং আকর্ষণীয় করে পরাগায়নে সাহায্য করা,2,9-10-biology_secondary-2-18,False
T0157,238,ক্লোরোপ্লাস্ট,প্রকার,সবুজ রঙের প্লাস্টিড,2,9-10-biology_secondary-2-18,False
T0158,238,ক্লোরোপ্লাস্ট,কারণ,00100701850,2,9-10-biology_secondary-2-18,False
T0159,644,প্লীস্টিডের গ্রানা,অবস্থান,ঠঁ রাসায়নিক শত্তিত,2,9-10-biology_secondary-2-19,False
T0160,644,প্লীস্টিডের গ্রানা,কাজ,সূর্যালোককে আবদ্ধ করে,2,9-10-biology_secondary-2-19,False
T0161,70,আবদ্ধ সৌরশক্তি,অবস্থান,স্ট্রোমাতে,2,9-10-biology_secondary-2-19,False
T0162,146,উৎসেচক,অবস্থান,স্ট্রোমাতে,2,9-10-biology_secondary-2-19,False
T0163,890,রঙিন প্লাস্টিড,কাজ,"ফুল, পাতা এবং উদ্ভিদের অন্যান্য অংশ আকর্ষণীয় করার সাহায্য",2,9-10-biology_secondary-2-21,False
T0164,890,রঙিন প্লাস্টিড,কাজ,পরাগায়নে সাহায্য,2,9-10-biology_secondary-2-21,False
T0165,156,এন্ডোপ্লাজমিক রেটিকুলাম,কাজ,প্রোটিন সংশ্লেষণের ঘটনার ঘটনার পথ,2,9-10-biology_secondary-2-26,False
T0166,156,এন্ডোপ্লাজমিক রেটিকুলাম,কারণ,কোষগহ্বর সৃষ্টিতে এসন্ডোপ্লাজমিক রেটিকুলামের গুরুত্বপূর্ণ ভূমিকা রয়েছে,2,9-10-biology_secondary-2-26,False
T0167,156,এন্ডোপ্লাজমিক রেটিকুলাম,প্রতিরোধ,প্লাজমা মেমব্রেনের সাথে যুক্ত থাকে,2,9-10-biology_secondary-2-26,False
T0168,207,কোষগহ্বর,অবস্থান,কোষের মধ্যে,2,9-10-biology_secondary-2-27,False
T0169,207,কোষগহ্বর,কাজ,কোষরস ধারণ,2,9-10-biology_secondary-2-27,False
T0170,207,কোষগহ্বর,প্রকার,বৃহৎ কোষণগহ্র,2,9-10-biology_secondary-2-27,False
T0171,207,কোষগহ্বর,প্রকার,"অজৈব লবণ, রঞ্জক পদার্থ, পানি",2,9-10-biology_secondary-2-27,False
T0172,925,লাইসোজোমের পর্দা,কারণ,অঙ্গাগুলো নষ্ট হয়ে যায়,2,9-10-biology_secondary-2-29,False
T0173,15,অঙ্গাগুলো,কারণ,কোষটিই মারা যায়,2,9-10-biology_secondary-2-29,False
T0174,206,কোষকঙ্কাল,কারণ,কোষটিকে ধরে রাখে,2,9-10-biology_secondary-2-30,False
T0175,206,কোষকঙ্কাল,অংশ,অসংখ্য দড়ির মতো বস্তু,2,9-10-biology_secondary-2-30,False
T0176,206,কোষকঙ্কাল,কাজ,কোষের চারদিকে জালের মতো ছড়িয়ে রয়েছে,2,9-10-biology_secondary-2-30,False
T0177,206,কোষকঙ্কাল,সংজ্ঞা,লম্বা এবং মোটা-চিকন মিলিয়ে,2,9-10-biology_secondary-2-30,False
T0178,895,রাইবোজোম,অবস্থান,প্রাণী এবং উদ্ভিদ কোষে,2,9-10-biology_secondary-2-32,False
T0179,895,রাইবোজোম,কাজ,প্রোটিন সংশ্লেষণে সাহায্য,2,9-10-biology_secondary-2-32,False
T0180,895,রাইবোজোম,কাজ,উৎসেচক সরবরাহ,2,9-10-biology_secondary-2-32,False
T0181,146,উৎসেচক,কাজ,প্রাণরাসায়নিক বিক্রিয়ার গতি বাড়িয়ে দেওয়া,2,9-10-biology_secondary-2-32,False
T0182,804,মাইটোকন্ডরিয়ার ম্যাট্রিক,অবস্থান,রাইবোজোম,2,9-10-biology_secondary-2-32,False
T0183,643,প্লাস্টিডের স্ট্রোমাত,অবস্থান,রাইবোজোম,2,9-10-biology_secondary-2-32,False
T0184,895,রাইবোজোম,অবস্থান,এঁ অঙ্গাণুসমূহের ডিএনএ-এর সংকেত অনুযায়ী প্রোটিন সংশ্লেষণে অংশ নেয়,2,9-10-biology_secondary-2-32,False
T0185,764,ব্যাকটেরিয়া কোষের সাইটোপ্লাজমে,অবস্থান,রাইবোজোম,2,9-10-biology_secondary-2-32,False
T0186,895,রাইবোজোম,কাজ,প্রোটিন সংশ্লেষণ,2,9-10-biology_secondary-2-32,False
T0187,16,অঙ্গাণু,অবস্থান,সেন্ট্রিওলের চারপাশে,2,9-10-biology_secondary-2-33,False
T0188,1055,সেন্ট্রোল,অবস্থান,সেন্ট্রোজোমে,2,9-10-biology_secondary-2-33,False
T0189,1052,সেন্ট্রোক্ষিয়া,অবস্থান,সেন্ট্রোলের চারপাশে,2,9-10-biology_secondary-2-33,False
T0190,1062,সেস্ট্রোক্ফিয়া,অবস্থান,সেন্ট্রোলের চারপাশে,2,9-10-biology_secondary-2-33,False
T0191,1053,সেন্ট্রোজোম,কাজ,কোষ বিভাজনের চিত্র,2,9-10-biology_secondary-2-33,False
T0192,674,ফ্লাজেলা,অংশ,বিভিন্ন ধরনের,2,9-10-biology_secondary-2-34,False
T0193,506,নিউক্লিয়াস,অবস্থান,রক্তকোষে,2,9-10-biology_secondary-2-35,False
T0194,506,নিউক্লিয়াস,কাজ,বিপাকীয় কার্যাবলি নিয়ন্ত্রণ,2,9-10-biology_secondary-2-35,False
T0195,506,নিউক্লিয়াস,প্রকার,বংশগতির বৈশিষ্ট্য নিহিত,2,9-10-biology_secondary-2-35,False
T0196,504,নিউক্লিয়ার ঝিল্লি,অবস্থান,নিউক্লিয়াসকে ঘিরে,2,9-10-biology_secondary-2-35,False
T0197,504,নিউক্লিয়ার ঝিল্লি,কারণ,নিউক্লিয়াস এবং সাইটোগ্লাজমের মধ্যে বস্তু চলাচল নিয়ন্ত্রণ,2,9-10-biology_secondary-2-35,False
T0198,504,নিউক্লিয়ার ঝিল্লি,কারণ,নিউক্লিয়াস এবং সাইটোগ্লাজমের মধ্যে বস্তু পৃথক রাখা,2,9-10-biology_secondary-2-35,False
