triple_id,head_id,head,tail_id,tail,relation,source_relation,chapter_no
T0398,829,মানুষের শ্বসনতন্দ্র,6,অক্সিজেন,সম্পর্কিত,কাজ,2
T0398,829,মানুষের শ্বসনতন্দ্র,822,মানুষ,সম্পর্কিত,কাজ,2
T0398,829,মানুষের শ্বসনতন্দ্র,253,খাদ্য,সম্পর্কিত,কাজ,2
T0399,1081,স্নায়ূতন্ত্র,797,মস্তিষ্ক,সম্পর্কিত,অংশ,2
T0403,907,রেচনতন্ত্র,839,মূত্রথলি,সম্পর্কিত,অংশ,2
T0405,579,পূর্ণসংখ্যক ক্রোমোজোম,341,জাইগোট,সম্পর্কিত,অবস্থান,3
T0406,1120,হ্যাপ্যেড কোষ,235,ক্রোমোজোম,সম্পর্কিত,অবস্থান,3
T0407,414,ডিপ্যেড কোষ,579,পূর্ণসংখ্যক ক্রোমোজোম,সম্পর্কিত,অবস্থান,3
T0414,832,মিয়োসিস,341,জাইগোট,সম্পর্কিত,কাজ,3
T0416,833,মিয়োসিস-1,734,বিভাজন,সম্পর্কিত,কাজ,3
T0417,834,মিয়োসিস-2,734,বিভাজন,সম্পর্কিত,কাজ,3
T0418,39,অপত্য কোষে,235,ক্রোমোজোম,সম্পর্কিত,কারণ,3
T0419,321,চিত্রের বিভাজন,506,নিউক্লিয়াস,সম্পর্কিত,কারণ,3
T0419,321,চিত্রের বিভাজন,734,বিভাজন,সম্পর্কিত,কারণ,3
T0420,321,চিত্রের বিভাজন,756,বৈচিত্র্য,সম্পর্কিত,কারণ,3
T0422,321,চিত্রের বিভাজন,38,অপত্য,সম্পর্কিত,কারণ,3
T0422,321,চিত্রের বিভাজন,235,ক্রোমোজোম,সম্পর্কিত,কারণ,3
T0436,807,মাইটোসিস,506,নিউক্লিয়াস,সম্পর্কিত,কারণ,3
T0436,807,মাইটোসিস,1014,সাইটোপ্লাজম,সম্পর্কিত,কারণ,3
T0437,807,মাইটোসিস,39,অপত্য কোষে,সম্পর্কিত,কারণ,3
T0437,807,মাইটোসিস,235,ক্রোমোজোম,সম্পর্কিত,কারণ,3
T0438,807,মাইটোসিস,392,টিউমার,সম্পর্কিত,কারণ,3
T0438,807,মাইটোসিস,220,ক্যান্সার,সম্পর্কিত,কারণ,3
T0439,392,টিউমার,734,বিভাজন,সম্পর্কিত,কারণ,3
T0440,219,ক্যাঙ্গার,392,টিউমার,সম্পর্কিত,কারণ,3
T0441,832,মিয়োসিস,235,ক্রোমোজোম,সম্পর্কিত,কাজ,3
T0441,832,মিয়োসিস,38,অপত্য,সম্পর্কিত,কাজ,3
T0442,558,পানির ফটোলাইসিস,554,পানি,সম্পর্কিত,কাজ,4
T0442,558,পানির ফটোলাইসিস,6,অক্সিজেন,সম্পর্কিত,কাজ,4
T0447,225,ক্যালভিন চক্র,956,শর্করা,সম্পর্কিত,কাজ,4
T0448,158,ও উদ্ভিদ,148,এই চক্র,সম্পর্কিত,কারণ,4
T0450,83,আলো,622,প্রভাবকগুলো,সম্পর্কিত,প্রকার,4
T0452,642,প্লাস্টিড,1046,সূর্যালোক,সম্পর্কিত,কাজ,4
T0453,363,জীবদেহের প্রতিটি কোষ,799,মাংসপেশি,সম্পর্কিত,কাজ,4
T0453,363,জীবদেহের প্রতিটি কোষ,276,খাবার,সম্পর্কিত,কাজ,4
T0453,363,জীবদেহের প্রতিটি কোষ,606,প্রজনন,সম্পর্কিত,কাজ,4
T0453,363,জীবদেহের প্রতিটি কোষ,434,তাপমাত্রা,সম্পর্কিত,কাজ,4
T0455,1027,সালোকসংশ্লেষণ,184,কার্বন ডাই-অক্সাইড,সম্পর্কিত,কারণ,4
T0456,434,তাপমাত্রা,1027,সালোকসংশ্লেষণ,সম্পর্কিত,কাজ,4
T0456,434,তাপমাত্রা,622,প্রভাবকগুলো,সম্পর্কিত,কাজ,4
T0459,421,ঢা+ (হাইড্রোজেন আয়ন,554,পানি,সম্পর্কিত,অবস্থান,4
T0463,7,অক্সিজেনবিহীন পরিবেশে,1027,সালোকসংশ্লেষণ,সম্পর্কিত,অবস্থান,4
T0467,239,ক্লোরোফিল,550,পাতা,সম্পর্কিত,লক্ষণ,4
T0469,552,পাতার বয়স,1027,সালোকসংশ্লেষণ,সম্পর্কিত,কারণ,4
T0471,791,মধ্যবয়সি পাতা,1027,সালোকসংশ্লেষণ,সম্পর্কিত,লক্ষণ,4
T0472,553,পাতার সংখ্যা,1027,সালোকসংশ্লেষণ,সম্পর্কিত,কারণ,4
T0478,1027,সালোকসংশ্লেষণ,381,জৈব রাসায়নিক প্রক্রিয়া,সম্পর্কিত,অবস্থান,4
T0479,1002,সবুজ উদ্ভিদ,184,কার্বন ডাই-অক্সাইড,সম্পর্কিত,কাজ,4
T0479,1002,সবুজ উদ্ভিদ,554,পানি,সম্পর্কিত,কাজ,4
T0480,1027,সালোকসংশ্লেষণ,253,খাদ্য,সম্পর্কিত,কাজ,4
T0480,1027,সালোকসংশ্লেষণ,605,প্রক্রিয়া,সম্পর্কিত,কাজ,4
T0483,239,ক্লোরোফিল,956,শর্করা,সম্পর্কিত,কাজ,4
T0485,1001,সবুজ অংশ,956,শর্করা,সম্পর্কিত,কারণ,4
T0486,975,শ্বসন,999,সবাত শ্বসন,সম্পর্কিত,প্রকার,4
T0487,975,শ্বসন,44,অবাত শ্বসন,সম্পর্কিত,প্রকার,4
T0489,999,সবাত শ্বসন,6,অক্সিজেন,সম্পর্কিত,কারণ,4
T0489,999,সবাত শ্বসন,638,প্রোটিনগুলো,সম্পর্কিত,কারণ,4
T0490,999,সবাত শ্বসন,976,শ্বসন প্রক্রিয়া,সম্পর্কিত,অবস্থান,4
T0490,999,সবাত শ্বসন,132,উদ্ভিদ,সম্পর্কিত,অবস্থান,4
T0490,999,সবাত শ্বসন,633,প্রাণী,সম্পর্কিত,অবস্থান,4
T0491,44,অবাত শ্বসন,6,অক্সিজেন,সম্পর্কিত,কারণ,4
