node_id,label,chapters,n_facts
163,কঙ্কালতন্ত্র,9,1
164,কঙ্কালতল্কে,9,1
165,কজা,9,1
166,কনডেলার,2,3
167,কমলার রস,9,1
168,কমেনসালিজম,13,1
169,করোটিক ম্নায়ু,10,7
170,করোটিক স্নায়ু,10,1
171,কর্টেক্স,2,1
172,কর্তন দাঁত,5,1
173,কলয়েড জাতীয় শুকনা বা আধা শুকনা পদার্থ,5,1
174,কাঁচা ফলমূল,5,1
175,কাঁঠালগাছ,12,1
176,কাইনেটোকোর,2,1
177,কাক,13,1
178,"কাক, শকুন, শিয়াল, হায়েনা",13,1
179,কাচের স্টেজ,2,1
180,কাজ,"2,7",2
181,কাঠের খণ্ডটি,5,1
182,কাণ্ড,"6,10",2
183,কাণ্ডের চলন,10,1
184,কার্বন ডাই-অক্সাইড,4,2
185,কালার র্লাইন্ডনেস,12,2
186,কাশি,7,3
187,কিউবয়ডাল আবরণী টিস্যু,2,2
188,কিডনি,8,4
189,কিডনি বিকলতা,8,2
190,কিডনি সংযোজন,8,2
191,কিডনির রোগ,8,6
192,কীটনাশক,5,1
193,কৃমি,5,12
194,কেন্দ্রীয় স্নায়ূতন্ত্র,10,1
195,কেবল সবুজ অংশ,4,2
196,কৈশিক জালিকা,6,5
197,কৈশিকনালি,8,2
198,কৈশোর,11,1
199,কোকিল,13,1
200,কোলেস্টেরল,"5,6",4
201,কোলেস্টেরল কোষপ্রাচীর,6,1
202,কোলেস্টেরল হাইড্রোকার্বন কোলেস্টেইন,6,1
203,কোষ,"1,2,10",15
204,কোষ বা টিস্যু,2,1
205,কোষ বা টিস্যুর পাতলা স্তর,2,1
206,কোষকঙ্কাল,2,4
207,কোষগহ্বর,2,4
208,কোষগুচ্ছ,2,1
209,কোষগুলো,2,2
210,কোষঝিল্লি,2,1
211,কোষদেহ,10,1
212,কোষবিল্লী,2,1
213,কোষরস,"2,6",2
214,কোষসমূহ,2,1
215,কোষের উপাদান,10,1
216,কোষ্ঠ,10,1
217,কোষ্ঠকাঠিন্য,5,13
218,কোষৰিল্লি,2,2
219,ক্যাঙ্গার,3,1
220,ক্যান্সার,14,1
221,ক্যাপসুল-সংলগ্ন অংশ,8,2
222,ক্যাম্বিয়াম,10,1
223,ক্যারিওকাইনেসিস,2,1
224,ক্যারোলাস লিনিয়াস,1,5
225,ক্যালভিন চক্র,4,2
226,ক্যালসিটোনিন,10,1
227,ক্যালসিয়াম,9,1
228,ক্যালসিয়াম-সমৃদ্ধ খাবার,9,1
229,ক্রুমবর্ধমানশীল ভ্রূণ,11,2
230,ক্রেবস চক্র,4,2
231,ক্রেবস চক্রের ধাপ,2,1
232,ক্রোমাটিড,2,2
233,ক্রোমাটিন,2,2
234,ক্রোমাটিনগুলো,2,2
235,ক্রোমোজোম,"2,12",13
236,ক্রোমোজোমাল তন্তু,2,1
237,ক্রোমোটিড,2,1
238,ক্লোরোপ্লাস্ট,"1,2",3
239,ক্লোরোফিল,4,2
240,ক্লোরোফিল অভাবের,5,3
241,ক্লোরোফিল না থাকা অংশ,4,1
242,ক্লোরোসিসে,5,2
243,ক্ষণপদযুত্ত আবরণী টিস্যু,2,1
244,ক্ষারীয় পাচকরস,5,1
245,খণাত্মক আন্তঃক্রিয়া,13,3
246,খণ্ডায়ন,11,1
247,খণ্ডিত ডিএনএ,14,1
248,খতু পরিবর্তন,7,1
249,খতুন্রাব,11,1
250,খনিজ লবণ,"5,6,9",7
251,খাটো গাছের জিন,12,1
252,খাটো গাছের পরাগরেণু,12,1
253,খাদ্য,"5,7",6
254,খাদ্য উপাদান,5,2
255,খাদ্য ক্যালরি,5,1
256,খাদ্য পিরামিড,5,1
257,খাদ্য শক্তি,13,1
258,খাদ্য শক্তি পরিমাপের একক,5,1
259,খাদ্য সংরক্ষণ,5,4
260,খাদ্যগ্রহণ,2,1
261,খাদ্যজাল,13,2
262,খাদ্যদ্রব্য,"4,5",5
263,খাদ্যবস্তু,5,2
264,খাদ্যমণ্ড,5,1
265,খাদ্যশিকল,13,7
266,খাদ্যশৃঙ্খল,13,1
267,খাদ্যে অনিয়ম,5,1
268,খাদ্যের অসার অংশ,5,1
269,খাদ্যের অসার অংশের সাথে থাকা আমিষ,5,1
270,খাদ্যের অসার অংশের সাথে থাকা উদ্বৃত্ত এনজাইম,5,1
271,খাদ্যের অসার অংশের সাথে থাকা পানি,5,1
272,খাদ্যের অসার অংশের সাথে থাকা লবণ,5,1
273,খাদ্যের অসার অংশের সাথে থাকা লিপিড,5,1
274,খাদ্যের উপাদান,5,1
275,খাদ্যের তালিকা,5,2
276,খাবার,"5,7",2
277,খাবার তালিকা,5,1
278,খাবার তেল বা ঘি,5,2
279,খালি পায়ে,5,1
280,খেয়ে খাদ্যনালির রস,7,1
281,গঠন্মুখ,11,1
282,গনুঁকোজ,7,1
283,গরু,12,1
284,গরুর মাংস,7,1
285,গর্ভপত্র,11,2
286,গর্ভপত্রী,11,1
287,গর্ভবতীদের,5,1
288,গর্ভযন্দ্রের বিপরীত দিকের কোষ,11,1
289,গর্ভযন্ম,11,1
290,গর্ভাবস্থা,11,3
291,গলগণ্ড,5,3
292,গলবিল,"5,7",5
293,গষধ,5,1
294,গাছ,11,1
295,গিঁট,2,1
296,গুয়ানিন,12,1
297,গৌণ খাদক,13,1
298,গ্যাসীয় বিনিময়,7,2
299,গ্যাস্ট্রিক রস,5,1
300,গ্যাস্ট্রিকগ্রন্থি,5,4
301,গ্রন্থি,2,2
302,গ্রানূলোসাইট,6,3
303,গ্রিনহাউস ইফেক্ট,13,6
304,গ্লাইকোজেন,5,2
305,গ্লুকোজের অসম্পূর্ণ জারণ,4,1
306,গ্লোমেরুলাস,8,2
307,গ্লোমেরুলাসে,8,1
308,গ্ল্যাংকটন,13,1
309,ঘটনাবলি,11,1
310,ঘোমটা,7,3
311,চওড়া এবং খাড়া কপাল,1,1
312,চর্বি,5,7
313,চর্বিজাতীয় খাদ্য,5,1
314,চর্বিতে দ্রবণীয় ভিটামিন,5,3
315,চলন,10,1
316,চিংড়ি,7,1
317,চিকিৎসা,"7,8",2
318,চিত্র ঈ সংঘটিত প্রক্রিয়া,4,3
319,চিত্র ১৩.১১,13,1
320,চিত্র-১ উদ্ভিদটির অগ্রভাগ,10,1
321,চিত্রের বিভাজন,3,4
322,চূড়ান্ত পর্যায়ে,7,2
323,চোখ-মুখসহ সারা শরীর,8,2
324,চোখের পাতা,10,1
325,চোষক শত্তি,6,3
326,ছত্রাক,"7,10",2
327,ছাত্রছাত্রী,13,1
328,ছাত্রের পেশি,10,2
329,ছার,12,3
330,ছিদ্র,6,1
331,ছেদন দাঁত,5,1
332,ছেলেদের বিএমআর,5,1
333,ছেলেদের শুক্লাশয়,10,1
334,ছেলেমেয়েদের,11,1
335,ছোট কোষ,11,1
336,জড় পদার্থ বা শক্তি,13,1
337,জনন অঙ্গ,10,5
338,জনন অঙ্গের আবরণী টিস্যু,2,1
339,জননকোষ,"2,11",5
340,জরায়ু,11,1
341,জাইগোট,"2,11",6
342,জাইলেম,2,1
343,জাইলেম প্যারেনকাইমা,2,1
344,জাইলেম ফাইবার,2,4
345,জাইলেম ভেসেল বা ফ্লোয়েমের সিভনল,6,1
346,জালিকা,8,2
347,জালিকার অংশগুলো,2,1
348,জিএমও,14,2
349,জিন,"12,14",3
350,জিন ক্লোনিং,14,1
351,জিন প্রকৌশল,14,4
352,জিবেরেলিন,10,6
353,জিলাটিন,5,1
354,জিহ্বা,"5,7",3
355,জীব,"2,3,7,10,11,12,13,14",13
356,জীবকোষ,2,1
357,জীবকোষ ও টিস্যু,2,1
358,জীবগুলো,"12,13",4
359,জীবজ উপাদান,13,1
360,জীবজগতের জীব,12,1
361,জীবজগৎ,1,1
362,জীবদেহ,"3,8",3
363,জীবদেহের প্রতিটি কোষ,4,1
364,জীবপ্রযুক্তি,14,1
365,জীবপ্রযুক্তি ও জেনেটিক ইঞ্জিনিয়ারিং,13,1
366,জীববৈচিত্র্য,13,3
367,জীববৈচিত্র্যের প্রকারভেদ,13,1
368,জীবের,6,1
369,জীবের প্রজনন,10,2
370,জীবের বংশগতি,12,2
371,জীবের বৈজ্ঞানিক নাম,1,1
372,জীবের বৈশিষ্ট্য,11,1
373,জীবের মধ্যে মিথক্ষিয়া ও আন্তঃনির্ভরশীলতা,13,1
374,জেনারেটিভ কোষ,11,2
375,জেনেটিক ইঞ্জিনিয়ারিং,14,2
376,জেনেটিক ডিসঅর্ডার,12,1
377,জেনেটিক মডিফিকেশন,14,1
378,জেনেটিকভাবে পরিবর্তিত,14,1
379,জেরোফথ্যালমিয়ার চোখের সংবেদী রড কোষ,5,1
380,জৈব অভিব্যক্তি,12,1
381,জৈব রাসায়নিক প্রক্রিয়া,5,1
382,জৈবিক নমুনা,12,1
383,ঝিল্লি বা আবরণ,11,1
384,টমাস কেভলিয়ার-স্মিথ,1,1
385,টমেটো মোজাইক ভাইরাস,14,1
386,টাইপ-2 ডায়াবেটিস,10,1
387,টানা নলের বাহুতে,2,1
388,টায়ালিন বা স্যালাইভারি আ্যামাইলেজ,5,2
389,টিউনিকা ইন্টারনা,6,1
390,টিউনিকা এক্সটার্না,6,1
391,টিউনিকা মিডিয়া,6,1
392,টিউমার,3,1
393,টিস্যু,"2,9",4
394,টিস্যু কালচার,14,1
395,টিস্যুগুচ্ছ,9,1
396,টেনডন,9,7
397,টেনডনের আঁটিগুচ্ছ,9,1
398,টোবাকো মাইন্ড গ্রিন মোজাইক ভাইরাস,14,1
399,টোবাকো মোজাইক ভাইরাস,14,1
400,ট্যাক্সোনমি,1,1
401,ট্রাইকাসপিড,6,1
402,ট্রাইসেপস পেশি,9,1
403,ট্রাকিড,2,1
404,ট্রাজজেনিক জীব,14,1
405,ট্রানজিশনাল আবরণী,2,1
406,ডাক্তারের পরামর্শ,7,1
407,ডায়রিয়া,5,1
408,ডায়াবেটিস,10,1
409,ডায়াবেটিসের ব্যক্তি,10,1
410,ডায়ালাইসিস,8,1
411,ডায়ালাইসিস টিউব,8,1
412,ডায়ালাইসিস মেশিন,8,1
413,ডিএনএ,12,3
414,ডিপ্যেড কোষ,3,1
415,ডিম্বাণু,11,1
416,ডেনড্রন,"2,10",3
417,ডেনড্রাইট,"2,10",2
418,ডেন্টিন,5,1
419,ডোপামিন তৈরির কোষগুলো,10,2
420,ঢ144,12,6
421,ঢা+ (হাইড্রোজেন আয়ন,4,1
422,ঢাকনা,7,1
423,তন্ত্র,10,1
424,তন্দ্র,2,1
425,তন্ভুগুলো,2,1
426,তরঙ্গ দৈর্ঘ্য,2,1
427,তরল টিস্যুর প্রধান কাজ,2,1
428,তরল টিস্যুর মাতৃকা,2,1
429,তরল যোজক টিস্যু,2,2
430,তরুণাস্থি,9,6
431,তরুণাস্থি কোষ,9,1
432,তরুণাস্থি কোষের নিউক্লিয়াস,9,1
433,তরুণাস্থি কোষের প্রোটোগ্লাজম,9,1
434,তাপমাত্রা,4,3
435,তিমি মাছ,2,1
436,তুলনামূলকভাবে সরলতর জীবগুলো,11,1
437,তৃণভোজী প্রাণী,13,2
438,তৃণভোজী প্রাণী এবং মাংসাশী প্রাণী,13,1
439,তৃতীয় শ্রেণির খাদক,13,1
440,তৃতীয় স্তরের খাদক,13,1
441,তেল বা চর্বিজাতীয় খাদ্য,6,1
442,ত্বক,"2,10",4
443,ত্যাগের সুব্যবস্থা,10,1
444,থাইমাস গ্রন্থি,10,4
445,থাইমোসিন,10,1
446,থাইরক্সিন,10,1
447,থাইরয়েড গ্রন্থি,10,3
448,থাইরয়েড হরমোনের ঘাটতি,10,4
449,থাইল্যান্ড টিস্যু কালচার,14,1
450,থায়ামিন,12,1
451,থার্মোফ্লাস্ক,4,1
452,থোষ্বোপ্লাসটিন,6,1
453,থ্যালাসেমিয়া,12,9
454,থ্যালাসেমিয়া মাইনর,12,1
455,থ্যালাসেমিয়া মেজর,12,1
456,থ্যালাসেমিয়ার চিকিৎসা,12,1
457,থ্যালাসেমিয়ার রোগী,12,6
458,থ্যালাসেমিয়ার শিশু,12,1
459,দন্তমজ্জা,5,2
460,দহনক্রিয়া,6,1
461,দাঁত,5,4
462,দিবারাত্রি,7,1
463,দুই মেরু,11,2
464,দুইটি বিপরীত লিঙ্গের প্রাণী,11,1
465,দুশ্চিন্তামুন্ত,10,1
466,দৃষ্টিশক্তি,1,1
467,দেহ,"6,7",4
468,দেহকোষ,2,3
469,দেহের অভ্যন্তরীণ বর্ণনার বিষয়,1,1
470,দেহের গঠন,5,1
471,দেহের বাহ্যিক বর্ণনার বিষয়,1,1
472,দৈনিক প্রয়োজন,5,1
473,দ্বিতীয় অংশ,1,1
474,দ্বিতীয় স্তরের খাদক,13,1
475,দ্বিপদ নাম,1,1
476,দ্বিপদ নামকরণ,1,1
477,ধনাত্মক আন্তঃক্রিয়া,13,1
478,ধমনি,6,4
479,ধমনির গায়ে,6,1
480,ধমনির ভিতর,6,1
481,ধাপ,2,1
482,ধাপ 1,4,1
483,ধুলাবালি,7,1
484,ধূমপান,10,1
485,ধূসর পদার্থ,10,1
486,ধোঁয়া,7,1
487,ধোম্বিন,6,1
488,নাইট্রোজেন,4,1
489,নাইট্রোজেন বেস,12,1
490,নাড়িও,11,1
491,নাড়িস্পন্দন,6,1
492,নামের একটি ব্যাকটেরিয়া,5,1
493,নারী,9,1
494,নারীর দেহ,2,1
495,নারীর বিএমআর,5,1
496,নালিহীন বা অন্তঃক্ষরা গ্রন্থি,2,1
497,নাসাপথ,7,6
498,নাসাপথের পশ্চাৎপথ,7,1
499,নাসিকা,7,3
500,নিউক্লিওটাইড,12,8
501,নিউক্লিওপ্রোটিন,12,1
502,নিউক্লিওপ্লাজম,2,1
503,নিউক্লিওলাস,2,4
504,নিউক্লিয়ার ঝিল্লি,2,3
505,নিউক্লিয়ার মেমব্রেন,2,1
506,নিউক্লিয়াস,"2,12",5
507,নিউক্লিয়াস ভ্রণথলি,11,1
508,নিউমোকক্কাস,7,1
509,নিউমোনিয়া,7,3
510,নিউরন,"2,10",4
511,নিউরনের আযাক্সনের টারমিনাল,10,1
512,নিউরনের সম্ধিস্থল,10,1
513,নিকোটিন,10,2
514,নিকোটিনের গ্রহণ,10,3
515,নিকোটিনের চাহিদা,10,1
516,নিম্নশ্রেণির জীব,11,1
517,নিয়ত পুষ্পমঞ্জরি,11,1
518,নিয়মিত ব্যায়াম,9,1
519,নির্দিষ্ট মাত্রার চেয়ে বেশি বা কম নিঃসারণ,11,1
520,নিলয়,6,3
521,নিষেক,11,2
522,নিষেক ভ্ূণে,11,4
523,নেফ্রন,8,1
524,নোজপিস,2,1
525,পটাশিয়াম,5,5
526,পটাশিয়ামের অভাব,5,6
527,পত্ররন্ধ,6,2
528,পথ্যের ব্যবস্থা,10,1
529,পর-পরাগায়ন,11,1
530,পরাগ,11,1
531,পরাগরেণু,11,6
532,পরাগরেণুর নিউক্লিয়াস,11,1
533,পরাগায়ন,11,5
534,পরিণত পুংপুষ্প,11,2
535,পরিপাকতন্ত্র,5,1
536,পরিপাকতন্দ্র,2,2
537,পরিবর্তন,12,1
538,পরিবহণতন্ত্র,6,2
539,পরিবেশবিজ্ঞানী ওডাম,13,1
540,পরিবেশের জীবজ উপাদান,13,1
541,পরিবেশের ভারসাম্য রক্ষায় পরিবেশ সংরক্ষণের গুরুত্ব,13,1
542,পরিষ্কার-পরিচ্ছন্ন,10,1
543,পলিমারেজ চেইন বিক্রিয়া,12,1
544,পশুর রোগ নিরাময়ে,13,1
545,পসটুলেটেড হরমোন,10,2
546,পাকমণ্ডের অবশিষ্টাংশ,5,1
547,পাকস্থলী,5,2
548,পাচকরস,5,1
549,পাতলা আবরণ,5,1
550,পাতা,"5,6",2
551,পাতার কিনারা বরাবর অঞ্চলগুলো,5,1
552,পাতার বয়স,4,2
553,পাতার সংখ্যা,4,1
554,পানি,"4,5,6",7
555,পানির অভাব,5,1
556,পানির কণা,6,1
557,পানির পরিমাণ,5,1
558,পানির ফটোলাইসিস,4,1
559,পাপড়ি,11,2
560,পায়ু,5,1
561,পায়ের গিঁটে,6,1
562,পারকিনসন রোগ,10,7
563,পারকিনসন রোগাক্রান্ত রোগীর মস্তিষ্কে,10,1
564,পাশ্বীয় কোষের প্রাচীর,10,1
565,পিটুইটারি গ্রন্থি,10,4
566,পিঠের পিছন দিক,9,1
567,পিত্তথলি,5,2
568,পিত্তনালি,5,1
569,পিত্তরস,5,8
570,পিরামিড,13,2
571,পুং ও স্ত্রীজনন কোষ বা গ্যামেট,11,1
572,পুংজনন কোষ,11,2
573,পুরুষ,12,3
574,পুরুষ মানুষের দেহ,2,1
575,পুষ্পমঞ্জরি,11,2
576,পুষ্পাক্ষ,11,2
577,পূর্ণ পাক,12,1
578,পূর্ণবয়স্ক মানুষের দৈহিক ওজন,5,1
579,পূর্ণসংখ্যক ক্রোমোজোম,3,1
580,পেটের পীড়া,7,1
581,পেনিসিলিয়াম ছত্রাক,13,1
582,পেপটিক আলসার,5,1
583,পেপটিক আলসার রোগ,5,3
584,পেশি,"2,7,9,10",11
585,পেশি কোষগুলো,10,1
586,পেশিকোষণ,2,1
587,পেশিগুলো,9,1
588,পেশিতন্দ্র,9,6
589,পেশিবন্ধনী,9,1
590,পেশির নড়াচড়া,10,1
591,পেষণ দাঁত,5,1
592,পৌন্টিকগ্রন্থি,5,1
593,পৌন্টিকনালি,5,3
594,পৌষ্টিক নালি,2,10
595,পৌষ্টিকতন্ত্র,5,2
596,পৌষ্টিকনালি,5,1
597,পৌস্টিক নালিগাত্র,5,1
598,প্যারাথাইরয়েড গ্রন্থি,10,2
599,প্যারালাইসিস,10,8
600,প্যারেনকাইমা,2,1
601,প্রকরণ,12,2
602,প্রকৃত কোষ,2,4
603,প্রকৃত কোষী,2,1
604,প্রকৃতি,14,1
605,প্রক্রিয়া,6,1
606,প্রজনন,11,2
607,প্রজননের উপযুক্ত বয়সী নারীদের,5,1
608,প্রজাতি,1,1
609,প্রজাতিগত বৈচিত্র্য,13,1
610,প্রজাতির ধারা,2,1
611,প্রতিটি ক্রোমোজোমের বাহু দুটি,2,1
612,প্রতিটি ক্রোমোজোমের সেস্ট্রোমিয়ার বিষুবীয় অঞ্চলে,2,1
613,প্রতিটি খণ্ড,5,1
614,প্রতিটি নেফ্রন,8,2
615,প্রতিটি বৃক্ধে,8,1
616,প্রতিটি রেনাল করপাসল,8,2
617,প্রতিদিন পরিমিত ব্যায়াম,6,1
618,প্রতিমোল,3,1
619,প্রত্যেকটি কোষ,5,1
620,প্রত্যেকটি লোবিউল,5,1
621,প্রথম অংশ,1,1
622,প্রভাবকগুলো,4,1
623,প্রলম্বিত অংশ,2,1
624,প্রস্বেদন,6,1
625,প্রাইমারি জাইলেমে অবস্থিত প্যারেনকাইমার কোষ,2,1
626,প্রাককেন্দ্রিক কোষ,12,1
627,প্রাকৃতিক নির্বাচন,12,1
628,প্রাচীর,2,1
629,প্রাণরস,10,1
630,প্রাণরাসায়নিক বিক্রিয়াগুলো,12,1
631,প্রাণিকোষ,2,1
632,প্রাণিটিস্যু,2,1
633,প্রাণী,"1,2,7",4
634,প্রান্তীয় প্রাচীর,2,1
635,প্রান্তীয় স্নায়ুতন্ত্র,10,1
636,প্রোক্যারিওটা,1,1
637,প্রোটিন,12,2
638,প্রোটিনগুলো,12,1
639,প্রোটোপ্লাজম,"2,5",6
640,প্রোটোভাইরাস,12,1
641,প্লাজমিড,14,1
642,প্লাস্টিড,"2,4",4
643,প্লাস্টিডের স্ট্রোমাত,2,1
644,প্লীস্টিডের গ্রানা,2,2
645,ফটোট্রপিক চলন,10,1
646,ফরমালিন,5,1
647,ফরমালিনে ডুবানো মাছ,5,1
648,ফল,"2,6,11",8
649,ফলিক আ্যাসিড,5,1
650,ফসফরাস,5,3
651,ফসফরাসের অভাব,5,5
652,ফসল,14,1
653,ফসিল,12,1
654,ফাঁকা সংযোগস্থল,10,1
655,ফাঁপা নল,7,8
656,ফাইটোহরমোন,10,1
657,ফাইন আ্যাডজাস্টমেন্ট নব,2,3
658,ফাইবার,2,3
659,ফাইব্রাস যোজক টিস্যু,2,1
660,ফাইব্রিন,6,2
661,ফুট,2,1
662,ফুল,11,4
663,ফুল ফোটার সময় উদ্ভিদের কাণ্ড,5,1
664,ফুলের অংশ,11,4
665,ফুলের পাপড়ি,11,1
666,ফুলের রেণু,7,1
667,ফুসফুস,7,17
668,ফুসফুস ক্যান্সার,7,3
669,ফুসফুসীয় শিরা,6,1
670,ফুসফুসের ক্যাঙ্গার,7,1
671,ফুসফুসের রোগ,7,2
672,ফেরোমন,10,4
673,ফ্যাগোসাইটোসিস,6,1
674,ফ্লাজেলা,2,1
675,ফ্লাজেলাযুক্ত আবরণী টিস্যু,2,1
676,ফ্লুরেনকাইমা টিস্যু,2,2
677,ফ্লেমিং,13,1
678,ফ্লোয়েম,"2,6",3
679,ফ্লোয়েম টিস্যু,2,1
680,ফ্লোয়েম প্যারেনকাইমা,2,3
681,ফ্লোরিজেন,10,3
