triple_id,chapter_no,chapter_title,subject,relation,object,source_text
T2095,12,জীবের বংশগতি ও জৈব অভিব্যক্তি,নিউক্লিওটাইড,পরিমাণ,পূর্ণ ঘূর্ণনের মধ্যে 10টি,"পরিপূরক ৷ এতে পাঁচ কার্বনযুক্ত শর্করা, নাইট্রোজেনঘটিত বেস বা ক্ষার (এডিনিন, গুয়ানিন, সাইটোসিন ও থাইমিন) এবং অজৈব ফসফেট থাকে৷ এই তিনটি উপাদানকে একত্রে নিউক্লিওটাইড বলে। ঢ144& ক্রোমোজোমের স্থায়ী পদার্থ । মার্কিন বিজ্ঞানী 80501 এবং ইংরেজ বিজ্ঞানী 0110 1953 সালে প্রথম ঢ144 অণুর ডাবল হেলিক্স (00০0৮16 19150 বা দ্বি-সূত্রী কাঠামোর বর্ণনা দেন এবং এ কাজের জন্য তাঁরা নোবেল পুরস্কার পান। নাইট্রোজেন বেসগুলো দুধরনের, পিউরিন এবং পাইরিমিডিন ৷ এডিনিন (&) ও গুয়ানিন (6) বেস হলো পিউরিন এবং সাইটোসিন (0 ও থায়ামিন (77 বেস হলো পাইরিমিডিন ৷ একটি সূত্রের এডিনিন (৭) অন্য সূত্রের থায়ামিন (77-এর সাথে দুটি হাইড্রোজেন"
T0419,3,কোষ বিভাজন,চিত্রের বিভাজন,কারণ,ক. ৪ তে নিউক্লিয়াসের বিভাজন একবার হলেও / তে দুইবার ঘটে,"8. 3 চিত্রের বিভাজন ॥ চিত্রের বিভাজন থেকে ব্যতিক্রম, কারণ_ ক. ৪ তে নিউক্লিয়াসের বিভাজন একবার হলেও / তে দুইবার ঘটে খ. ৪ জীবের গুণগত স্থিতিশীলতা বজায় রাখলেও /, বৈচিত্র্য সৃষ্টি করে গ. ৪ দেহকোষে সংঘটিত হলেও /, জনন মাতৃকোষে সংঘটিত হয় ঘ. ৪ তে সৃষ্ট অপত্য কোষের ক্রোমোজোম সংখ্যা 4, এর অর্ধেক | নব / '/ | চিত্র ক. ইন্টারফেজ কাকে বলে?"
T1724,10,সমন্বয়,হরমোন,প্রকার,রাসায়নিক উপাদান,"যে জৈব রাসায়নিক পদার্থ উদ্ভিদদেহে উৎপন্ন হয়ে উদ্ভিদের বৃদ্ধি এবং বিকাশ, বিভিন্ন অঙ্গ সৃষ্টি ইত্যাদি কাজ নিয়ন্ত্রণ করে, তাকে হরমোন বা প্রাণরস বলে। উদ্ভিদ হরমোনকে ফাইটোহরমোন (চ11%601101170116) বলা হয়। কেউ কেউ ফাইটোহরমোনকে উদ্ভিদ বৃদ্ধিকারক বস্তু (01311 হ1০%/00 50850311065) হিসেবেও আখ্যায়িত করেছেন৷ অধিকাংশ বিজ্ঞানীদের মতে, যে রাসায়নিক উপাদানটি কোষে উৎপন্ন হয় এবং উৎপত্তিস্থল থেকে বাহিত হয়ে দূরবতী স্থানের কোষ বা কোষপুঞ্জের কার্যাবলি নিয়ন্ত্রণ করে, সেটাই হচ্ছে হরমোন (71011000116) ৷ উদ্ভিদের প্রতিটি কোষই হরমোন উৎপন্ন করতে পারে। এরা কোনো পুষ্টিদ্রব্য নয় তবে সক্ষুদ্রমাত্রায় উৎপন্ন হয়ে উদ্ভি"
T0399,2,জীবকোষ ও টিস্যু,স্নায়ূতন্ত্র,অংশ,"মস্তিষ্ক, সুষুন্নাকাণ্ড এবং করোটিক য়ায়ু","দেহের বাইরের এবং ভিতরের উদ্দীপনা গ্রহণ করা এবং সে অনুযায়ী উপযুক্ত প্রতিক্রিয়া সৃষ্টি করা এই তন্ত্রের কাজ। মস্তিষ্ক, সুষুন্নাকাণ্ড এবং করোটিক য়ায়ু নিয়ে স্নায়ূতন্ত্র গঠিত ৷ এছাড়া স্বয়ংক্রিয় স্নায়ুতন্দর নামে ম্নায়ুতন্দত্রের আরও একটি অংশ আছে । স্নায়ুতন্ত্রের এই অংশ দেহের অনৈচ্ছিক পেশির কাজগুলো নিয়ন্ত্রণ করে। (0) রেচনতনম্দ্র (চঙ0৮০৮০17 ওয় 506107)"
T0971,6,জীবে পরিবহন,হার্ট আ্যাটাক,কারণ,প্রাণঘাতী রোগ,"যখন কারও হৃৎপিণ্ডের কোনো অংশে রক্ত জমাট বাঁধার কারণে রক্তপ্রবাহ বন্ধ হয়ে যায় কিংবা বাধাগ্রস্ত হয় তখন হৃৎপিণ্ডের কোষ কিংবা হৃৎপেশি ক্ষতিগ্রস্ত হয়। ফলে মায়োকারডিয়াল ইনফ্রাকশন, করোনারি ধোমবসিস ইত্যাদি সমস্যা সৃষ্টি হয়, যেগুলোকে একনামে হার্ট আযটাক বলা হয়। বাংলাদেশে হৃদরোগ, বিশেষ করে করোনরি (০০1০1817) হৃদরোগীর সংখ্যা বেড়ে যাচ্ছে। হৃৎপিণ্ড রক্তের মাধ্যমে অক্সিজেন এবং খাবারের সারবস্তু অর্থাৎ পুষ্টিকর পদার্থ রন্তনালির মধ্য দিয়ে দেহের বিভিন্ন স্থানে পৌঁছে দেয়। নিজের কাজ সঠিকভাবে করার জন্য অর্থাৎ তার হৃৎপেশির অক্সিজেন এবং পুষ্টি অর্জনের জন্য হৃৎপিণ্ডের তিনটি প্রধান রক্তনালি আছে। এগুলোর মধ্যে "
T0157,2,জীবকোষ ও টিস্যু,ক্লোরোপ্লাস্ট,প্রকার,সবুজ রঙের প্লাস্টিড,"বিজ্ঞানী আর্নস্ট হেকেল 1866 সালে উদ্ভিদ কোষের গুরুত্বপূর্ণ অঙ্গাণু প্লাস্টিড আবিষ্কার করেন। প্লাস্টিডের প্রধান কাজ খাদ্য প্রস্তুত করা, খাদ্য সঞ্চয় করা এবং উদ্ভিদদেহকে বর্ণময় এবং আকর্ষণীয় করে পরাগায়নে সাহায্য করা। প্লীস্টিড তিন ধরনের- ক্লোরোপ্লাস্ট, ক্রোমোপ্লাস্ট এবং লিউকোগ্লীস্ট ৷ () ক্লোরোপ্লীস্ট (00100701850: সবুজ রঙের প্লাস্টিডকে ক্লোরোগ্লীাস্ট বলে। পাতা, কচি কাণ্ড ও"
T1976,11,জীবের প্রজনন,এইডস রোগ,কারণ,এইডস আক্রান্ত পুরুষ বা মহিলার সাথে অনিরাপদ যৌনমিলনের মাধ্যমে এ রোগ হয়,এইডস রোগের কারণ নিম্নলিখিত কারণে একজন সুস্থ ব্যক্তি এই ঘাতক রোগ দ্বারা আক্রান্ত হতে পারেন। যেমন: (1) এইডস আক্রান্ত পুরুষ বা মহিলার সাথে অনিরাপদ যৌনমিলনের মাধ্যমে এ রোগ হয়। ইত্যাদি ক্ষেত্রে দেহে রক্ত পরিসঞ্চালন প্রয়োজন হয়। এ অবস্থায় এইডস রোগে আক্রান্ত রোগীর রক্ত সুস্থ ব্যক্তির দেহে সঞ্চালন করলে এইডস রোগ হয়।
T0854,5,"খাদ্য, পুষ্টি ও পরিপাক",চর্বিতে দ্রবণীয় ভিটামিন,প্রকার,ভিটামিন /,"ভিটামিনকে দুটি শ্রেণিতে ভাগ করা যায়, চর্বিতে দ্রবণীয় ভিটামিন এবং পানিতে দ্রবণীয় ভিটামিন। চর্বিতে দ্রবণীয় ভিটামিন ভিটামিন /: দুধ, মাখন, চর্বি, ডিম, গাজর, আম, কাঁঠাল, রঙিন শাকসবজি, মলা মাছ ইত্যাদিতে ভটামিন /& পাওয়া যায়। ভিটামিন 7): দুধ, ডিম, কলিজা বা যকৃৎ, দুগ্ধজাত দ্রব্য, মাছের তেল, ভোজ্য তেল ইত্যাদিতে ভিটামিন ঢ থাকে।"
T0539,5,"খাদ্য, পুষ্টি ও পরিপাক",বাণিজ্যিক রং,অবস্থান,"আইসক্রিম, গোলা-আইসক্রিম, শরবত","বাণিজ্যিক রং আইসক্রিম, গোলা-আইসক্রিম, শরবত, ৷ শুধু অনুমোদিত খাদ্যরং ব্যবহার করা। রঙিন পানীয়, ভাজা বড়া ও বিভিন্ন রঙের অননুমোদিত ব্যবহার। 4. ফরমালিন মর্গে লাশ সংরক্ষণের প্রধান উপাদান । | ফরমালিন ব্যবহার সম্পূর্ণরূপে পরিহার মাছ, দুধ, ফল ইত্যাদি সংরক্ষণে ৷ করা। অননুমোদিত ব্যবহার 5. কীটনাশক বিষাস্ততা অনেক ক্ষেত্রে রয়ে যায়। ডিডিটি ব্যবহার না করা। শুটকিতে ডিডিটির অননুমোদিত ব্যবহার।"
T0653,5,"খাদ্য, পুষ্টি ও পরিপাক",খাদ্যদ্রব্য,কাজ,পাকস্থলীতে প্রবেশ,মুখগহ্বর থেকে খাদ্যদ্রব্য পেরিস্টালসিস (29115081515) প্রক্রিয়ায় অন্ননালির মধ্য দিয়ে পাকস্থলীতে প্রবেশ করে। পৌস্টিক নালিগাত্রের পেশির পর্যায়রমিক সংকোচন ও প্রসারণের ফলে খাদ্যদ্রব্য সামনের দিকে অগ্রসর হয়। অন্ননালিতে খাদ্যের কোনো পরিপাক ঘটে না। (৮) পাকস্থলীতে পরিপাক পাকস্থলীতে খাদ্য আসার পর অন্তঃপ্রাচীরের গ্যাস্ট্রিকগ্রন্থি থেকে গ্যাস্ট্রিক রস ক্ষরিত হয়। এই রসে প্রধান যে উপাদানগুলো থাকে তা হলো:
T0892,5,"খাদ্য, পুষ্টি ও পরিপাক",প্রজননের উপযুক্ত বয়সী নারীদের,অবস্থান,15-45 বছর,"আমাদের দেশে শিশু ও নারীদের ক্ষেত্রে রক্তস্বল্পতা বা রক্তশূন্যতা একটি সাধারণ রোগ ৷ রক্তশূন্যতা হচ্ছে দেহের এমন একটি অবস্থা, যখন বয়স এবং লিঙ্গভেদে রক্তে হিমোগ্লোবিনের ঘনত্ব স্বাভাবিকের তুলনায় কমে যায়। খাদ্যের মুখ্য উপাদান লৌহ, ফলিক আ্যাসিড, ভিটামিন বি-12 ইত্যাদির অভাব ঘটলে এ রোগ দেখা যায়। র্ভস্বল্পতার শতাধিক কারণ জানা গেছে এবং পুষ্টি উপাদানের ঘাটতি না হয়েও রক্তস্বল্পতা হতে পারে৷ তবে বাংলাদেশে সাধারণত লৌহের ঘাটতিজনিত রক্তস্বল্পতা বেশি হয়। শিশুদের, প্রজননের উপযুক্ত বয়সী নারীদের (15-45 বছর) এবং গর্ভবতীদের এই রোগ বেশি হয়। লৌহের ঘাটতিজনিত রক্তস্বল্পতা বা রক্তশূন্যতা বিভিন্ন কারণে হতে পারে। যে"
T2246,14,জীবপ্রযুক্তি,অংশ,অংশ,শীর্ষ বা পার্শ্বমুকুল,"উদ্ভিদবিজ্ঞানের একটি অপেক্ষাকৃত নতুন শাখা । উদ্ভিদ টিস্যু কালচারে উদ্ভিদের কোনো বিচ্ছিন্ন অংশ বা অঙ্গবিশেষ (যেমন পরাগরেণু, শীর্ষ বা পার্শ্বমুকুল, পর্ব, মূলাংশ ইত্যাদি) কোনো নির্দিষ্ট পুষ্টিবর্ধক মিডিয়ামে জীবাণুমুক্ত অবস্থায় কালচার করা হয়। মিডিয়ামগুলোতে পুষ্টি এবং বর্ধনের জন্য প্রয়োজনীয় সকল উপাদান সরবরাহ করা হয়। টিস্যু কালচারের উদ্দেশ্যে উদ্ভিদের যে অংশ পৃথক করে নিয়ে ব্যবহার করা হয় তাকে এক্সপ্ল্যান্ট (৮018140 বলে।"
T0738,5,"খাদ্য, পুষ্টি ও পরিপাক",পেপটিক আলসার রোগ,লক্ষণ,খালি পেটে বা অতিরিক্ত তেলজাতীয় খাদ্য খেলে ব্যথা বাড়ে,"পেপটিক আলসার রোগে সাধারণত পেটের ঠিক মাঝ বরাবর, নাভির একটু উপরে একঘেয়ে ব্যথা অনুভূত হয়। খালি পেটে বা অতিরিক্ত তেলজাতীয় খাদ্য খেলে ব্যথা বাড়ে। আলসার মারাত্মক হলে বমি হতে পারে। কখনো কখনো বমি এবং মলের সাথে রক্তু নির্গত হয়। এন্ডোসকপি (চ00500197) বা বেরিয়াম এক্স-রের মাধ্যমে এ রোগ নির্ণয় করা যায়।"
T1929,11,জীবের প্রজনন,হরমোন,কাজ,প্রজননতন্দ্রের অঙ্গগুলোর বৃদ্ধি এবং বিকাশ ঘটতে শুরু করাতে,"করে কৈশোর এবং তারুণ্যে উপনীত হয়। কৈশোর এবং তারুণ্যের সন্ধিকালই হলো বয়ঃসন্ধিকাল ৷ এ সময় ছেলেমেয়েদের দৈহিক, মানসিক এবং যৌন বৈশিষ্ট্যগুলোর বিকাশ ঘটে। তাদের প্রজননতন্দ্রের অঙ্গগুলোর বৃদ্ধি এবং বিকাশ ঘটতে শুরু করে। হরমোন এসব কাজে গুরুত্বপূর্ণ ভূমিকা রাখে। তাদের দেহের বাইরে এবং ভিতরে পরিবর্তন ঘটে, যেমন: ছেলেদের গৌঁফ-দাড়ি গজায়, গলার স্বর পরিবর্তন হয় এবং কাঁধ চওড়া হয়।"
T0675,5,"খাদ্য, পুষ্টি ও পরিপাক",অগ্যাশয় রস,অংশ,"আ্যামাইলেজ, লাইপেজ, ট্রিপসিন","₹ চিত্র ৫.১১: ইলিয়ামে দ্রবীভূত খাদ্য ও ফি এয ইত আদিল পা দয 'েহপদার্থের শোষণ স্নেহপদার্থ __্* ফ্যাটি এসিড + গ্লিসারল অগ্্যাশয় রসে আ্যামাইলেজ, লাইপেজ ও ট্রিপসিন নামক এনজাইম থাকে। আন্তরিক রসে আল্লিক আ্যামাইলেজ, লাইপেজ, মলটেজ, ল্যাকটেজ ও সুক্রেজ ইত্যাদি এনজাইম থাকে । আংশিক পরিপাককৃত আমিষ স্ষুদ্রান্তে ট্রিপসিনের সাহায্যে ভেঙে আ্যামাইনো এসিড এবং সরল পেপটাইডে পরিণত হয়। ট্রিপসিন"
T0284,2,জীবকোষ ও টিস্যু,কোষ,কাজ,সমন্টিগতভাবে টিস্যু তৈরি করা,"বহুকোষী প্রাণিদেহে অনেক কোষ একত্রে কোনো বিশেষ কাজে নিয়োজিত থাকে। একই ভ্রণীয় কোষ থেকে উৎপন্ন হয়ে এক বা একাধিক ধরনের কিছুসংখ্যক কোষ জীবদেহের কোনো নির্দি্ট স্থানে অবস্থান করে সমন্টিগতভাবে একটা কাজে নিয়োজিত থাকলে এঁ কোষগুলো সমন্টিগতভাবে টিস্যু (7155৮6) বা তল্ত্র তৈরি করে। একটি টিস্যুর কোষগুলোর উৎপত্তি, কাজ এবং গঠন একই ধরনের হয় টিস্যু নিয়ে আলোচনাকে টিস্যুতত্ত্ব (015001057) বলে । কোষ এবং টিস্যুর মধ্যে পার্থক্য খুবই নির্দি্ট। কোষ হচ্ছে টিস্যুর গঠনগত ও কার্যকরী একক, যেমন লোহিত রক্তকণিকা, শ্বেত রক্তকণিকা এবং অণুচক্রিকা বিভিন্ন ধরনের রক্তকোষ। আবার এরা একত্রে তরল যোজক টিস্যু নামে এক ধরনের টিস্যু হি"
T2064,12,জীবের বংশগতি ও জৈব অভিব্যক্তি,ক্রোমোজোম,পরিমাণ,২ হতে ১৬০০ সংখ্যা,"বংশগতির প্রধান উপাদান হচ্ছে ক্রোমোজোম। তোমরা জান, এটি নিউক্লিয়াসের নিউক্লিওপ্লাজমে বিস্তৃত এবং সূত্রাকার ক্রোমাটিন দিয়ে গঠিত। বিজ্ঞানী 503581561 (1875) প্রথম ক্রোমোজোম আবিষ্কার করেন। প্রজাতির বৈশিষ্ট্যভেদে কোষে এর ডিগ্নয়েড (দুই সেট ক্রোমোজোম, যার একসেট পিতা থেকে আসে এবং আর একসেট মাতা থেকে আসে) সংখ্যা 2 হতে 1600 পর্যন্ত হতে পারে। একটি ক্রোমোজোম দৈর্ঘ্যে সাধারণত 3.5 থেকে 30.0 মাইক্রন এবং প্রস্থে 0.2 থেকে 2.0 মাইক্রন হয়ে থাকে। (1 মাইক্রন - 1/1000 মিমি) । ক্রোমোজোমের কাজ হলো মাতাপিতা থেকে জিন (যা জীবের বৈশিষ্ট্য নিয়ন্ত্রণ করে) সন্তান সন্ততিতে বহন করে নিয়ে যাওয়া । মানুষের চোখের রং, চুলের প্র"
T2168,13,জীবের পরিবেশ,বাস্তুতান্দ্রিক বৈচিত্র্য,কারণ,ভারসাম্যে ব্যাঘাত,"বাস্তুতান্ত্রিক বৈচিত্র্য: একটি বাস্তুতন্দ্রের ভৌত উপাদান, রাসায়নিক উপাদান এবং জৈবিক উপাদানগুলোর মধ্যে কোনো প্রকার পরিবর্তন দেখা দিলে সেখানকার বাস্তুতন্দ্রের ভারসাম্যে ব্যাঘাত ঘটে । এসব পরিবর্তন অবশ্যই ধীর এবং ধারাবাহিক এই পরিবর্তনের সাথে খাপ খাওয়ানোর জন্য সেখানে বসবাসরত জীবের মধ্যেও পরিবর্তন সাধিত হয়। ফলে যে জীববৈচিত্র্যের সৃষ্টি হয়, তাকেই বলা হয় বাস্তুতান্দ্রিক বৈচিত্র্য একটি ছোট পুকুরের বাস্তুতন্ত্রে যেসব উদ্ভিদ এবং প্রাণীর বসতি গড়ে উঠে তা নদীর বাস্তুতন্ত্র থেকে ভিন্নতর বন, তৃণভূমি, হৃদ, নদী, জলাভূমি, পাহাড়, সাগর, মরুভূমি প্রভৃতি বাস্তুতন্ত্রে গড়ে উঠে নিজস্ব বৈশিষ্ট্যসমৃদ্ঘধ এক একটি"
T1362,8,রেচন প্রক্রিয়া,আ্যাফারেন্ট আর্টারিওল,অংশ,ক্যাপসুল,জালিকা দিয়ে তৈরি রেনাল ধমনি থেকে সৃষ্ট আ্যাফারেন্ট আর্টারিওল (40919110 310911016) ক্যাপসুলের ভিতরে ঢুকে প্রায় 56টি কৈশিকনালিকা তৈরি করে। এগুলো আবার বিভক্ত হয়ে সূক্ষ র্তজালিকার সৃষ্টি করে। এসব জালিকার কৈশিকনালিগুলো মিলিত হয়ে ইফারেন্ট আ্যার্টারিওল (৮0016118 310911016) সৃষ্টি করে এবং ক্যাপসুল থেকে বেরিয়ে আসে।
T0508,4,জীবনীশক্তি,কার্বন ডাই-অক্সাইড,পরিমাণ,বায়ুতে ০০২-এর ঘনত্ব বেড়ে গেলে,"(৪) বাহ্যিক প্রভাবক: বাহ্যিক প্রভাবকগুলো হলো: (1) তাপমাত্রা: 20"" সেলসিয়াসের নিচে এবং 45০ সেলসিয়াসের উপরের তাপমাত্রায় শ্বসন হার কমে যায়। শ্বসনের জন্য উত্তম তাপমাত্রা 20* সেলসিয়াস থেকে 45০ সেলসিয়াস (1) অক্সিজেন: সবাত শ্বসনে পাইরুভিক এসিড জারিত হয়ে (০2 ও 20 উৎপন্ন করে। কাজেই অক্সিজেনের অভাবে সবাত শ্বসন কোনোক্রমেই চলতে পারে না। (11) পানি: পরিমিত পানি সরবরাহ শ্বসন ক্রিয়াকে স্বাভাবিক রাখে। কিন্তু অত্যন্ত কম কিংবা (ছ) আলো: শ্বসন কার্যে আলোর প্রয়োজন পড়ে না সত্যি কিন্তু দিনের বেলা আলোর উপস্থিতিতে পত্ররস্ধ খোলা থাকায় 02 গ্রহণ ও (০2 ত্যাগ করা সহজ হয় বলে শ্বসন হার একটু বেড়ে যায়। (দ) কার্বন ড"
T0959,6,জীবে পরিবহন,লোহিত রক্তকোষ,কাজ,সরবরাহের কাজ,"ভ্রণ অবস্থায় যকৃৎ এবং প্লীহায় লোহিত রক্তকোষ উৎপন্ন হয়। লাল অস্থিমজ্জা হতে এই রক্তকোষ উৎপন্ন হয়। এগুলো প্রধানত দেহে 0, সরবরাহের কাজ করে। যদি কোনো কারণে অস্বাভাবিক শ্বেত রক্তকোষের বৃদ্ধি ঘটে তাহলে রোগের লক্ষণগুলো প্রকাশ পায়। তখন অস্থিমজ্জা অত্যধিক হারে শ্বেত রক্তকোষ উৎপাদন করার কারণে পরোক্ষভাবে লোহিত রক্তকোষ এবং অণুচক্রিকার উৎপাদন কমে যেতে পারে। লিউকেমিয়াকে রক্তের ক্যাঙ্গার বলা হলেও এটি আসলে রক্ত উৎপাদন-ব্যবস্থার অস্বাভাবিকতাজনিত একটি রোগ এবং এতে প্রধানত যে অঙ্গটি ক্যাঙ্গারে আক্রান্ত হয় তা হলো অস্থিমজ্জা। লোহিত রক্তকোষের অভাবে অক্সিজেনের ঘাটতি হয়, যার ফলে রোগী দুর্বল বোধ করে, ফ্যাকাশে হয"
