triple_id,chapter_no,chapter_title,subject,relation,object,verdict,note,source_text
T1686,10,সমন্বয়,কোষদেহ,অংশ,"গোলাকার, তারকাকার, অথবা ডিম্বাকার",,,"(৪) কোষদেহ (911 ৮০৭): প্লাজমামেমত্রেন, সাইটোপ্লাজম আর নিউক্লিয়াস নিয়ে গঠিত নিউরনের গোলাকার, তারকাকার, অথবা ডিম্বাকার অংশ কোষদেহ নামে পরিচিত। এখানে সাইটোগপ্লাজমে মাইটোকন্ডিয়া, গলজিবস্তু, লাইসোজোম, চর্বি, গ্লাইকোজেন, রঞ্জক কণাসহ অসংখ্য নিসল দানা থাকে। (৮) প্রলম্বিত অংশ: কোষদেহ থেকে সৃষ্ট শাখা-প্রশাখাকেই প্রলম্বিত অংশ বলে। প্রলম্বিত অংশ দুধরনের:"
T2107,13,জীবের পরিবেশ,আবর্জনাভুক,অবস্থান,মৃত প্রাণী বা আবর্জনা,,,"যেসব প্রাণী গৌণ খাদকদের খেয়ে বাঁচে তারাও মাংসাশী প্রাণী (০3111101005) ৷ এদের বলা যায় তৃতীয় শ্রেণির বা কোনো কোনো ক্ষেত্রে সর্বোচ্চ খাদক। সাপ, ময়ূর, বাঘ ইত্যাদি এই শ্রেণির খাদক। একটি বিশেষ শ্রেণির খাদক জীবন্ত প্রাণীর চেয়ে মৃত প্রাণীর মাংস বা আবর্জনা খেতে বেশি পছন্দ করে। যেমন: কাক, শকুন, শিয়াল, হায়েনা ইত্যাদি। এদের নাম দেওয়া হয়েছে আবর্জনাভুক বা ধাঙড় (537০8০1) ৷ কারণ এরা মৃতদেহ বা আবর্জনা খেয়ে পরিবেশ পরিষ্কার রাখে । উল্লেখ্য, কখনো কখনো বাস্তুতন্ত্র এমন প্রাণী দেখা যায়, যারা একাই বিভিন্ন "
T0292,2,জীবকোষ ও টিস্যু,অবরণী টিস্যু,কাজ,অঙ্গকে আবৃত রাখা,,,"এই টিস্যু বিভিন্ন অঙ্গের আবরণ (1115) হিসেবে কাজ করে। তবে অঙ্গকে আবৃত রাখাই আবরণী টিস্যুর একমাত্র কাজ নয়। এই টিস্যুর কাজ হলো: অঙ্কে আবৃত রাখা, সেটিকে বাইরের আঘাত থেকে রক্ষা (0:০86600101]) করা, প্রোটিনসহ বিভিন্ন পদার্থ ক্ষরণ বা নিঃসরণ (560৮০৮010) করা, বিভিন্ন পদার্থ শোষণ (9০5০10001) করা এবং কোষীয় স্তর পেরিয়ে সুনির্দিষ্ট পদার্থের পরিবহণ"
T2044,12,জীবের বংশগতি ও জৈব অভিব্যক্তি,থ্যালাসেমিয়ার রোগী,কারণ,যকৃৎ নষ্ট,,,"সাধারণত নির্দিষ্ট সময় পর পর রক্ত প্রদান এবং নির্দিষ্ট ওষধ খাইয়ে থ্যালাসেমিয়ার চিকিৎসা দেওয়া হয়। রোগীদের লৌহসমৃদ্ধ ফল বা ওঁষধ খেতে হয় না, কারণ তা শরীরে জমে গিয়ে শরীরের বিভিন্ন অঙ্গের ক্ষতিসাধন করে। এছাড়া যকৃৎ নষ্ট হলে জন্ডিস, অগ্ম্যাশয় নষ্ট হলে ডায়াবেটিস ইত্যাদি নানা প্রকার রোগ ও রোগলক্ষণ দেখা দিতে পারে। যদি এসব সমস্যা একবার শুরু হয় তাহলে থ্যালাসেমিয়া রোগীর 30 বছরের বেশি বেঁচে থাকার সম্ভাবনা কম থাকে।"
T2219,14,জীবপ্রযুক্তি,জিএমও,অবস্থান,জেনেটিক্যালি মডিফাইড অর্গানিজম,,,"জিএমও এবং ট্রাজজেনিক জীব এক নয়। জীবের জিনে মিউটেশনের মাধ্যমে বা অন্য যেকোনো উপায়ে ধরে অর্থাৎ জেনেটিক্সের নিয়ম আবিষ্কারের আগে থেকেই কৃত্রিম নির্বাচন প্রক্রিয়ায় জেনেটিক্যালি মডিফায়েড কাঙ্ক্ষিত বৈশিষ্ট্যসম্পন্ন নতুন জাত উদ্ভাবন করে আসছে। প্রকৃতিতেও অনুরূপ প্রক্রিয়া চলছে লক্ষ-কোটি বছর ধরে, যার নাম জৈব অভিব্যক্তি। জীবপ্রযুক্তির কল্যাণে এই জেনেটিক মড়িফিকেশনের ব্যাপারটি আরও নিয়ন্দ্রিতভাবে এবং কম সময়ে করা সম্ভব। এভাবে যে জীব উৎপন্ন হয়, সেটি জিএমও বা জেনেটিক্যালি মডিফাইড অর্গানিজম। আর ট্রা্গজে"
T1751,10,সমন্বয়,জনন অঙ্গ,কাজ,জননচক্র নিয়ন্ত্রণ,,,এটি মেয়েদের ডিম্বাশয় এবং ছেলেদের শুক্লাশয়ে অবস্থিত । জনন অঙ্গ থেকে নিঃসৃত হরমোন দেহের পরিণত বয়সের লক্ষণগুলো বিকশিত করতে ভূমিকা রাখে। এছাড়াও প্রাণীর জনন অঙ্গের বৃদ্ধির পাশাপাশি জননচক্র এবং যৌন আচরণ নিয়ন্ত্রণ করে থাকে । জনন অঙ্গ থেকে পরিণত বয়সের পুরুষ- দেহে টেস্টোস্টেরন (66500506016) এবং স্ত্রী-দেহে ইস্ট্রোজেন (০50০8915) হরমোন উৎপন্ন হয়। ১০.৫ প্রাণরস বা হরমোনজনিত অস্বাভাবিকতা
T1966,11,জীবের প্রজনন,হরমোন,কাজ,"মাতৃদুগ্ৰ উৎপাদন এবং প্রত্যেক প্রজাতিতে ভ্মূণের জন্য মাতৃদেহের ভিতর সহজ, স্বাভাবিক এবং নিরাপদ পরিবর্ধনের ব্যবস্থা করা",,,"নাড়িও বলা হয়। এটা মূলত একটি নালি, যার ভিতর দিয়ে মাতৃদেহের সাথে ভ্রণের বিভিন্ন পদার্থের বিনিময় ঘটে গর্ভাবস্থায় অমরা থেকে এমন কতগুলো হরমোন নিঃসৃত হয়, যা মাতৃদুগ্ৰ উৎপাদন এবং প্রত্যেক প্রজাতিতে ভ্মূণের জন্য মাতৃদেহের ভিতর সহজ, স্বাভাবিক এবং নিরাপদ পরিবর্ধনের ব্যবস্থা হিসেবে ভ্রণের চারদিকে কতগুলো ঝিল্লি বা আবরণ থাকে৷ এগুলো ভ্রূণের পুন্টি, গ্যাসীয় আদানপ্রদান,"
T0045,1,জীবন পাঠ,বৈজ্ঞানিক নাম,অংশ,প্রজাতি নাম,,,"(৮) বৈজ্ঞানিক নামের দুটি অংশ থাকবে, প্রথম অংশটি গণ নাম এবং দ্বিতীয় অংশটি প্রজাতি নাম। যেমন: 18860 70100 এটি রুই মাছের বৈজ্ঞানিক নাম, এখানে 18860 গণ এবং 701 প্রজাতিক পদ। (0 জীবজগতের প্রতিটি বৈজ্ঞানিক নামকে অনন্য (৮1186) হতে হয়। কারণ, একই নাম দুটি পৃথক (0) বৈজ্ঞানিক নামের প্রথম অংশের প্রথম অক্ষর বড় অক্ষর হবে, বাকি অক্ষরগুলো ছোট অক্ষর জীবনপাঠ"
T0541,5,"খাদ্য, পুষ্টি ও পরিপাক",মানবদেহ,অংশ,অসংখ্য কোষ,,,"মানবদেহ অসংখ্য কোষের সমন্বয়ে গঠিত। এই কোষণগুলোকে সজীব এবং কার্যকর রাখতে হলে সময়মতো খাদ্য সরবরাহ প্রয়োজন । কিন্তু অধিকাংশ খাদ্য জটিল এবং জৈব যৌগ অবস্থায় গ্রহণ করা হয়। দেহের কোষগুলো তা সরাসরি গ্রহণ করতে পারে না। খাদ্যকে শোষণযোগ্য ও কোষ উপযোগী করতে হলে তাকে ভেঙে সহজ, সরল এবং তরল অবস্থায় রূপান্তরিত করা আবশ্যক ।"
T1090,6,জীবে পরিবহন,গ্রানূলোসাইট,লক্ষণ,সাইটোগ্লাজম সূক্ষ্ম দানাযুক্ত,,,"(খ) গ্রানূলোসাইট :এদের সাইটোগ্লাজম সূক্ষ্ম দানাযুক্ত। গ্রানূুলোসাইট শ্বেত রন্তকোষগুলো নিউক্লিয়াসের আকৃতির ভিত্তিতে তিন প্রকার যথা: নিউট্রোফিল, ইওসিনোফিল এবং বেসোফিল। নিউট্রোফিল ফ্যাগোসাইটোসিস প্রক্রিয়ায় জীবাণু ভক্ষণ করে। ইওসিনোফিল ও বেসোফিল হিস্টামিন নামক রাসায়নিক পদার্থ নিঃসৃত করে দেহে এলার্জি প্রতিরোধ করে। বেসোফিল হেপারিন নিঃসৃত করে রক্তকে রন্তবাহিকার ভিতরে জমাট বাঁধতে বাধা দেয়।"
T0629,5,"খাদ্য, পুষ্টি ও পরিপাক",অগ্ন্যাশয়রস,অবস্থান,অগ্ন্যাশয় নালির মাধ্যমে,,,অগ্ন্যাশয় পাকস্থলীর পিছনে আড়াআড়িভাবে অবস্থিত একটি গুরুত্বপূর্ণ মিশ্রগ্রন্থি। এটি একাধারে পরিপাকে অংশগ্রহণকারী এনজাইম ও রক্তের গ্লুকোজ নিয়ন্ত্রণকারী হরমোন নিঃসৃত করে। অর্থাৎ অগ্ন্যাশয় বহিঃক্ষরা ও অন্তঃক্ষরা গ্রন্থির মতো কাজ করে। অগ্ন্যাশয়রস অগ্ন্যাশয় নালির মাধ্যমে যকৃৎ- অগ্ন্যাশয়নালি দিয়ে ডিওডেনামে প্রবেশ করে।
T1512,9,দৃঢ়তা প্রদান ও চলন,ক্যালসিয়াম,প্রতিরোধ,গ্রহণ করা,,,"* কমলার রস, সবুজ শাকসবজি, সয়াদ্রব্য ও ক্যালসিয়াম-সমৃদ্ধ খাবার খাওয়া । ২০০ জীববিজ্ঞান প্রতিরোধ * যথেষ্ট পরিমাণে সূর্যালোকের সংস্পর্শে আসা। * ক্যালসিয়াম ও ভিটামিন 1 সমৃদ্ধ খাদ্য গ্রহণ করা। * নিয়মিত ব্যায়াম করা যেদি কেউ ইতোমধ্যে অস্টিওপোরোসিসে আক্রান্ত হয় তাহলে ব্যায়াম করার আগে চিকিৎসকের পরামর্শ নিতে হবে)। * সুষম ও আশযুন্ত খাবার গ্রহণ করা।"
T1821,11,জীবের প্রজনন,পাপড়ি,কারণ,রঙিন হয়,,,(0 দলমণ্ডল (০৮০118): এটি বাইরের দিক থেকে দ্বিতীয় সতবক। প্রতিটি খণ্ডকে দল বা পাপড়ি বলে। পাপড়িগুলি যুক্ত থাকলে যুক্তদল এবং আলাদা থাকলে বিযুক্তদল বলা হয়। পাপড়ি সাধারণত রঙিন হয়। ?. / জীবের প্রজনন ২৩৫
T0723,5,"খাদ্য, পুষ্টি ও পরিপাক",কোষ্ঠকাঠিন্য,লক্ষণ,পেট ব্যথা,,,"কোষ্ঠকাঠিন্যের কারণে মল ত্যাগ কষ্টদায়ক হয়। ফলে পেটে অস্বস্তিকর অবস্থা, পেট ব্যথা ও নানা হতে পারে। আবার পরিপাক নালির টিউমারসহ বিভিন্ন অসুখের লক্ষণ হিসেবে কোষ্ঠকাঠিন্য হতে পারে। তাই কোষ্ঠকাঠিন্য হলে চিকিৎসকের শরণাপন্ন হওয়া বুদ্ধিমানের কাজ।"
T0500,4,জীবনীশক্তি,ক্রেবস চক্র,কারণ,বিক্রিয়া সংঘটিত হয়,,,"ধাপ 3: ক্রেবস চক্র (101685 ০০1০9): ইংরেজ প্রাণরসায়নবিদ 511 305 101685 এ চক্রটি আবিষ্কার করেন বলে একে ক্রেবস চক্র বলা হয়। এ পর্যায়ে আ্যাসিটাইল ০-/& মাইটোকন্তিয়াতে প্রবেশ করে এবং ক্রেবস চক্রে অংশগ্রহণ করে। এ চক্রের সকল বিক্রিয়াই মাইটোকন্ডিয়াতে সংঘটিত হয়। এই চকে এক অণু আ্যাসিটাইল :০-& থেকে দুই অণু কার্বন ডাইঅক্সাইড, তিন অণু ব/া+7*, এক অণু ঢা, এবং এক অণু 617 (গুয়ানোসিন ট্রাইফসফেট) উৎপন্ন হয় (অর্থাৎ দুই অণু আ্যাসিটাইল :০-& থেকে চার অণু ০2, 6 অণু 4/া+7া"", দুই অণু চা, এবং দুই অণু ০17 উৎপন্ন হয"
T0484,4,জীবনীশক্তি,ক্লোরোফিল না থাকা অংশ,কারণ,অসবুজ (কমলা বা হলুদ),,,পর্যবেক্ষণ: আয়োডিন দ্রবণে ডুবানোর পর দেখা যাবে পাতার কেবল সবুজ অংশই নীল বা গাঢ় বেগুনি বা কালো হয়েছে। সিদ্ধান্ত: ক্লোরোফিল থাকায় কেবল সবুজ অংশই সালোকসংশ্লেষণের মাধ্যমে শর্করা প্রস্তুত করেছে। ক্লোরোফিল না থাকায় অসবুজ (কমলা বা হলুদ) অংশে শর্করা প্রস্তুত হয়নি। সবুজ অংশে শর্করা ছিল বলেই আয়োডিন দ্রবণে এ অংশ নীল বা গাঢ় বেগুনি বা কালো হয়েছে।
T2064,12,জীবের বংশগতি ও জৈব অভিব্যক্তি,ক্রোমোজোম,পরিমাণ,২ হতে ১৬০০ সংখ্যা,,,"বংশগতির প্রধান উপাদান হচ্ছে ক্রোমোজোম। তোমরা জান, এটি নিউক্লিয়াসের নিউক্লিওপ্লাজমে বিস্তৃত এবং সূত্রাকার ক্রোমাটিন দিয়ে গঠিত। বিজ্ঞানী 503581561 (1875) প্রথম ক্রোমোজোম আবিষ্কার করেন। প্রজাতির বৈশিষ্ট্যভেদে কোষে এর ডিগ্নয়েড (দুই সেট ক্রোমোজোম, যার একসেট পিতা থেকে আসে এবং আর একসেট মাতা থেকে আসে) সংখ্যা 2 হতে 1600 পর্যন্ত হতে পারে। একটি ক্রোমোজোম দৈর্ঘ্যে সাধারণত 3.5 থেকে 30.0 মাইক্রন এবং প্রস্থে 0.2 থেকে 2.0 মাইক্রন হয়ে থাকে। (1 মাইক্রন - 1/1000 মিমি) । ক্রোমোজোমের কাজ হলো মাতাপিতা থেকে জিন (য"
T0335,2,জীবকোষ ও টিস্যু,তরল টিস্যুর মাতৃকা,অবস্থান,মাতৃকায়,,,"0556): তরল টিস্যুর মাতৃকা তরল। মাতৃকায় বিভিন্ন ধরনের জৈব পদার্থ দ্রবীভূত অবস্থায় থাকে। এই টিস্যুর প্রধান কাজ দেহের অভ্যন্তরে বিভিন্ন দ্রব্যাদি পরিবহণ করা, রোগ প্রতিরোধ করা এবং রক্ত জমাট বাঁধায় বিশেষ ভূমিকা রাখা। তরল যোজক টিস্যু দুই ধরনের, রক্ত এবং লসিকা। জীবকোষ ও টিস্যু ৩৭"
T0525,4,জীবনীশক্তি,ইস্ট,কারণ,0০ এবং গ্যাস তৈরি করতে পারে,,,"কিছু কিছু ব্যাকটেরিয়া অক্সিজেনের উপস্থিতিতে বাঁচতে পারে না। এদের শত্তি উৎপাদনের একমাত্র উপায় হলো অবাত শ্বসন। এ প্রক্রিয়ায় ইথাইল আ্যালকোহল তৈরি হয়, যা বিভিন্ন শিল্পে ব্যবহৃত হয়। ল্যাকটিক এসিড ফার্মেন্টেশনের মাধ্যমে এ প্রক্রিয়ায় দই, পনির ইত্যাদি উৎপাদিত হয়। রুটি তৈরিতে এ প্রক্রিয়া ব্যবহৃত হয়। ইস্টের অবাত শ্বসনের ফলে আ্যালকোহল এবং 0০, গ্যাস তৈরি হয়। এই (০, গ্যাসের চাপে রুটি ফুলে গিয়ে ভিতরে ফাঁপা হয়।"
T0177,2,জীবকোষ ও টিস্যু,কোষকঙ্কাল,সংজ্ঞা,লম্বা এবং মোটা-চিকন মিলিয়ে,,,"কোষবিল্পি অতিক্রম করে কোষের ভেতরে ঢুকলে প্রথমেই কোষকঙ্কাল নজরে পড়বে। সেটি লম্বা এবং মোটা-চিকন মিলিয়ে অসংখ্য দড়ির মতো বস্তু যা কোষের চারদিকে জালের মতো ছড়িয়ে রয়েছে। কোষকঙ্কাল ভেতর থেকে কোষটিকে ধরে রাখে। আ্যাকটিন, মায়োসিন, টিউবিউলিন ইত্যাদি প্রোটিন দিয়ে কোষকঙ্কালের বিভিন্ন ধরনের তন্তু নির্মিত হয়। মাইক্রোটিউবিউল, মাইক্রোফিলামেন্ট কিংবা ইন্টারমিডিয়েট ফিলামেন্ট এ ধরনের তন্তুর উদাহরণ।"
T0231,2,জীবকোষ ও টিস্যু,সক্কেরাইড,অবস্থান,পরিণত সাধারণত মৃত থাকে এবং এদের কোষপ্রাচীর কূপযুন্ত হয়,,,"ফ্লুরেনকাইমা টিস্যু বলে। প্রাথমিক অবস্থায় কোষগুলোতে প্রোটোগ্লাজম উপস্থিত থাকলেও খুব তাড়াতাড়ি তা নষ্ট হয়ে মৃত কোষে পরিণত হয়। কোষগুলো প্রধানত দুই ধরনের, ফাইবার এবং ক্ললেরাইড । উদ্ভিদদেহে দৃঢ়তা প্রদান এবং পানি ও খনিজ লবণ পরিবহণ করা এর মূল কাজ। (0) ফাইবার বা তন্তু (0166): এরা অত্যন্ত দীর্ঘ, পুরু প্রাচীরযুক্ত, শত্ত এবং এদের দুই প্রান্ত সরু। তবে কখনো কখনো ভোঁতা হতে পারে। প্রাচীরের গায়ে ছিদ্র থাকে, এ ছিদ্রকে কূপ বলে। অবস্থান এবং গঠনের ভিত্তিতে এদের বিভিন্ন নাম দেওয়া হয়েছে, যেমন বাস্ট ফাইবার, স"
T2151,13,জীবের পরিবেশ,সবুজ উদ্ভিদ,কাজ,কার্বন ডাই-অক্সাইড এবং পানি সংগ্রহ করে কার্বোহাইড্রেট তৈরির সময় অক্সিজেন ত্যাগ করে,,,"পৃথিবীর সব জীব, জড় ও ভৌত অবস্থা-- সবকিছু মিলেই আমাদের পরিবেশ। জীব সক্রিয়ভাবে জড়জগৎ থেকে তাদের প্রয়োজনীয় উপাদান সংগ্রহ করে তার জীবন অতিবাহিত করে এবং বর্জ্য পদার্থ হিসেবে বা মৃত্যুর পর পরিবেশে মিশে গিয়ে সেসব গৃহীত উপাদান আবার জড় পরিবেশেই ফিরিয়ে দেয়। সবুজ উদ্ভিদ বায়ু থেকে কার্বন ডাই-অক্সাইড এবং মাটি থেকে পানি সংগ্রহ করে সালোকসংশ্লেষণ প্রক্রিয়ায় তাদের প্রধান খাদ্য কার্বোহাইড্রেট (শর্করা) তৈরির সময় অক্সিজেন ত্যাগ করে। উদ্ভিদ এবং প্রাণী মিলিয়ে পুরো জীবজগতের শ্বসনের জন্য যতটুকু অক্সিজেন প"
T0836,5,"খাদ্য, পুষ্টি ও পরিপাক",রাফেজ,কাজ,মলের পরিমাণ বৃদ্ধি,,,"(8) খাদ্য আঁশ (01616) বা রাফেজ: রাফেজ পানি শোষণ করে, মলের পরিমাণ বৃদ্ধি করে ও বৃহদন্ থেকে মল নিষ্কাশনে সাহায্য করে।"
T1508,9,দৃঢ়তা প্রদান ও চলন,সবুজ শাকসবজি,প্রতিরোধ,খাওয়া,,,"* কমলার রস, সবুজ শাকসবজি, সয়াদ্রব্য ও ক্যালসিয়াম-সমৃদ্ধ খাবার খাওয়া । ২০০ জীববিজ্ঞান প্রতিরোধ * যথেষ্ট পরিমাণে সূর্যালোকের সংস্পর্শে আসা। * ক্যালসিয়াম ও ভিটামিন 1 সমৃদ্ধ খাদ্য গ্রহণ করা। * নিয়মিত ব্যায়াম করা যেদি কেউ ইতোমধ্যে অস্টিওপোরোসিসে আক্রান্ত হয় তাহলে ব্যায়াম করার আগে চিকিৎসকের পরামর্শ নিতে হবে)। * সুষম ও আশযুন্ত খাবার গ্রহণ করা।"
