chunk_id,chapter_no,subject,relation,object
9-10-biology_secondary-1-31,1,বৈশিষ্ট্য,লক্ষণ,"আকার, আকৃতি অথবা শারীরবৃত্তীয় পার্থক্যবিশিষ্ট ভিন্নধর্মী দুটি গ্যামেটের মিলনের মাধ্যমে যৌন জনন সম্পন্ন হয়"
9-10-biology_secondary-1-33,1,বৈশিষ্ট্য,প্রকার,নিউক্লিয়াসবিশিষ্ট ও বহুকোষী প্রাণী
9-10-biology_secondary-1-33,1,প্রাণী,কাজ,হেটারোট্রোফিক অর্থাৎ পরভোজী এবং খাদ্য গলাধঃকরণ করে
9-10-biology_secondary-1-33,1,প্রাণী,অবস্থান,দেহে জটিল টিস্যুতন্ত্র বিদ্যমান
9-10-biology_secondary-1-33,1,ভ্রণ বিকাশকালীন সময়ে,কারণ,ভ্র্ণীয় স্তর সৃষ্টি হয়
9-10-biology_secondary-1-34,1,টমাস কেভলিয়ার-স্মিথ,কাজ,জীবজগতের প্রোটিস্টাকে দুটি ভাগে ভাগ করা এবং মনেরাকে ব্যাকটেরিয়া রাজ্য হিসেবে নামকরণ করা
9-10-biology_secondary-1-34,1,জীবজগৎ,অংশ,ছয়টি রাজ্য
9-10-biology_secondary-1-36,1,শ্রেণিবিন্যাসের ধাপ,অবস্থান,উপরে
9-10-biology_secondary-1-36,1,শ্রেণিবিন্যাসের ধাপ,অবস্থান,নিচে
9-10-biology_secondary-1-39,1,সুকেন্দ্রিক কোষবিশিষ্ট বহুকোষী পরভোজী জটিল টিস্যুতন্তর,প্রকার,আছে
9-10-biology_secondary-1-39,1,বাচ্চা,কাজ,বুকের দুধ খাওয়া
9-10-biology_secondary-1-39,1,বাচ্চা,কারণ,লোম/চুল আছে
9-10-biology_secondary-1-39,1,হাত,কারণ,আঁকড়ে ধরার উপযোগী
9-10-biology_secondary-1-39,1,দৃষ্টিশক্তি,কারণ,বেশি উন্নত
9-10-biology_secondary-1-39,1,মস্তিষ্ক,অবস্থান,দেহের অনুপাতে সবচেয়ে বড়
9-10-biology_secondary-1-40,1,চওড়া এবং খাড়া কপাল,কারণ,পাতলা এবং বুদ্ধিবৃত্তিকভাবে উন্নত
9-10-biology_secondary-1-40,1,প্রজাতি,অবস্থান,শ্রেণিবিন্যাসের ধাপে
9-10-biology_secondary-1-40,1,শিক্ষার্থী,কারণ,জীববিজ্ঞানের
9-10-biology_secondary-1-41,1,জীবের বৈজ্ঞানিক নাম,অংশ,দুটি অংশ বা পদ
9-10-biology_secondary-1-41,1,প্রথম অংশ,কাজ,গণ নাম
9-10-biology_secondary-1-41,1,দ্বিতীয় অংশ,কাজ,প্রজাতির নাম
9-10-biology_secondary-1-41,1,দ্বিপদ নাম,কারণ,জীবজগতের প্রতিটি জীবকে আলাদা নামে জানা
9-10-biology_secondary-1-41,1,দ্বিপদ নামকরণ,কারণ,জীবের বৈজ্ঞানিক নাম নির্ধারণ
9-10-biology_secondary-1-44,1,বৈজ্ঞানিক নাম,অংশ,গণ নাম
9-10-biology_secondary-1-44,1,বৈজ্ঞানিক নাম,অংশ,প্রজাতি নাম
9-10-biology_secondary-1-44,1,বৈজ্ঞানিক নাম,কারণ,অনন্য
9-10-biology_secondary-1-44,1,বৈজ্ঞানিক নামের প্রথম অংশ,কারণ,প্রথম অক্ষর বড় অক্ষর হবে
9-10-biology_secondary-1-44,1,বৈজ্ঞানিক নামের প্রথম অংশ,কারণ,বাকি অক্ষরগুলো ছোট অক্ষর
9-10-biology_secondary-1-47,1,সাধারণ নাম,প্রকার,বৈজ্ঞানিক নাম
9-10-biology_secondary-1-8,1,দেহের বাহ্যিক বর্ণনার বিষয়,অংশ,বহিঃ অঙ্গসংস্থান
9-10-biology_secondary-1-8,1,দেহের অভ্যন্তরীণ বর্ণনার বিষয়,অংশ,অন্তঃ অঙ্গসংস্থান
9-10-biology_secondary-1-9,1,শারীরবিদ্যা,প্রতিরোধ,জৈবরাসায়নিক কার্যাদি
9-10-biology_secondary-1-9,1,হিস্টোলজি,কাজ,"টিস্যুসমূহের গঠন, বিন্যাস এবং কার্যাবলি"
9-10-biology_secondary-1-9,1,ভ্ূণবিদ্যা,কাজ,"জনন কোষের উৎপত্তি, নিষিক্ত জাইগোট থেকে ভ্রণের সৃষ্টি, গঠন, পরিস্ফুটন, বিকাশ"
9-10-biology_secondary-2-101,2,তন্দ্র,অংশ,ভ্রুণ ও শিশু ধারক অঙ্গ
9-10-biology_secondary-2-101,2,প্রাণী,কাজ,প্রজনন ক্ষমতা অর্জন
9-10-biology_secondary-2-101,2,প্রজাতির ধারা,অবস্থান,অব্যাহত থাকে
9-10-biology_secondary-2-101,2,মানুষ,কারণ,একলিঙ্গ প্রাণী
9-10-biology_secondary-2-101,2,পুরুষ মানুষের দেহ,অংশ,পুরুষ প্রজননতন্দ্র
9-10-biology_secondary-2-101,2,নারীর দেহ,অংশ,স্ত্রী প্রজননতন্দ্র
9-10-biology_secondary-2-102,2,ত্বক,অবস্থান,দেহের বাইরে
9-10-biology_secondary-2-102,2,ত্বক,কাজ,বাইরের আঘাত এবং জীবাণুর আক্রমণ থেকে দেহ রক্ষণ
9-10-biology_secondary-2-102,2,ত্বক,কাজ,জলীয় অংশকে দেহের ভিতর সংরক্ষণ
9-10-biology_secondary-2-103,2,নালিহীন বা অন্তঃক্ষরা গ্রন্থি,অবস্থান,প্রাণিদেহে
9-10-biology_secondary-2-103,2,গ্রন্থি,কাজ,রসকে হরমোন বলে
9-10-biology_secondary-2-103,2,গ্রন্থি,পরিমাণ,২.৫ অণুবীক্ষণ যন্ত্র
9-10-biology_secondary-2-105,2,কাচের স্টেজ,কারণ,দুটো ক্লিপ লাগানো
9-10-biology_secondary-2-105,2,স্তস্তের উপরে,অংশ,একটি টানা নল
9-10-biology_secondary-2-105,2,টানা নলের বাহুতে,কারণ,লেঙ্গ ধরে রাখার জন্য আংটা থাকে
9-10-biology_secondary-2-106,2,অণুবীক্ষণ যন্ত্র,অংশ,চিত্র
9-10-biology_secondary-2-106,2,স্ট্যান্ড,অবস্থান,বেজ-এর উপর দণ্ডায়মান উল্লম্ব পিলার
9-10-biology_secondary-2-107,2,আর্ম,কারণ,উপরের দিকে বাঁকানো
9-10-biology_secondary-2-107,2,ফুট,কারণ,নিচের দিকে পাটাতনের মতো
9-10-biology_secondary-2-107,2,স্টেজ,অবস্থান,আর্ম-এর নিচের অংশে
9-10-biology_secondary-2-107,2,বড়ি টিউব,কারণ,অণুবীক্ষণ যন্ত্রের উপরের দিককার নলাকার অংশ
9-10-biology_secondary-2-108,2,নোজপিস,অবস্থান,বড়ি টিউবের নিচের দিকে
9-10-biology_secondary-2-108,2,লেস,প্রকার,৩টি
9-10-biology_secondary-2-109,2,ফাইন আ্যাডজাস্টমেন্ট নব,কাজ,স্লাইডকে লেঙ্গের ফোকাস দূরত্বের ভিতরে বা বাইরে নেওয়া
9-10-biology_secondary-2-109,2,ফাইন আ্যাডজাস্টমেন্ট নব,কাজ,স্টেজকে ঘুরিয়ে স্লাইডকে লেঙ্গের ফোকাস দূরত্বের ভিতরে বা বাইরে নেওয়া
9-10-biology_secondary-2-109,2,ফাইন আ্যাডজাস্টমেন্ট নব,কারণ,ফোকাসের সুক্ষ সমন্বয় করার জন্য
9-10-biology_secondary-2-11,2,প্রোটোপ্লাজম,অবস্থান,কোষের ভিতরে
9-10-biology_secondary-2-11,2,প্রোটোপ্লাজম,অংশ,সবকিছু
9-10-biology_secondary-2-11,2,কোষবিল্লী,অংশ,প্রোটোপ্লাজম
9-10-biology_secondary-2-11,2,কোষঝিল্লি,অংশ,প্রোটোপ্লাজম
9-10-biology_secondary-2-11,2,সাইটোপ্লাজমীয় অঙ্গাণু,অবস্থান,কোষবিল্লীর আড়ালে
9-10-biology_secondary-2-11,2,নিউক্লিয়াস,অবস্থান,কোষবিল্লীর আড়ালে
9-10-biology_secondary-2-111,2,সাবস্টেজ,অবস্থান,স্টেজের নিচে
9-10-biology_secondary-2-111,2,সাবস্টেজ,কারণ,উঠা-নামা করানো যায়
9-10-biology_secondary-2-111,2,সাবস্টেজ,কারণ,একটি কনডেলার লাগানো থাকে
9-10-biology_secondary-2-111,2,কনডেলার,অংশ,একটি ডায়াঙ্রাম
9-10-biology_secondary-2-111,2,কনডেলার,অংশ,একটি পর্দা
9-10-biology_secondary-2-111,2,কনডেলার,কারণ,আলো কনডেলারের ভিতরে প্রবেশ করবে তা নির্ধারণ করে
9-10-biology_secondary-2-114,2,কোষ বা টিস্যুর পাতলা স্তর,অবস্থান,জলীয় মাধ্যমে
9-10-biology_secondary-2-114,2,কোষ বা টিস্যু,অবস্থান,চিহ্নিত করা মুশকিল
9-10-biology_secondary-2-116,2,তরঙ্গ দৈর্ঘ্য,পরিমাণ,400-700 ন্যানোমিটার
9-10-biology_secondary-2-116,2,সাইটোপ্লাজম,অবস্থান,অবস্থিত
9-10-biology_secondary-2-118,2,অণুবীক্ষণ যন্ত্র,কাজ,অঙ্গাণুগুলো স্পষ্ট দেখা দিতে পারে
9-10-biology_secondary-2-118,2,ইলেক্ট্রন তরঙ,কাজ,বিবর্ধন করা হয়
9-10-biology_secondary-2-118,2,ইলেক্ট্রন মাইক্রোস্কোপ,প্রকার,অণুবীক্ষণ যন্ত্র
9-10-biology_secondary-2-126,2,কোষ,অবস্থান,কোষঝিল্পি জুড়ে কোষের সীমানা এবং কেন্দ্রে নিউক্লিয়াস
9-10-biology_secondary-2-126,2,কোষ,কারণ,কোষগুলো ভালো করে ছড়ানো না থাকলে
9-10-biology_secondary-2-128,2,লাইসোজোম,কাজ,জীবাণু ভক্ষণ
9-10-biology_secondary-2-13,2,সাইটোপ্লাজম,অংশ,সাইটোগ্লাজম
9-10-biology_secondary-2-13,2,অঙ্গাণু,প্রকার,"ঝিল্লিযুক্ত সাইটোপ্লাজমীয় অঙ্গাণু, বিল্লিবিহীন অঙ্গাণু"
9-10-biology_secondary-2-133,2,জীব,প্রকার,এককোথষী জীব
9-10-biology_secondary-2-133,2,জীব,প্রকার,বহুকোষী জীব
9-10-biology_secondary-2-133,2,মানুষ,প্রকার,বহুকোষী জীব
9-10-biology_secondary-2-133,2,বট গাছ,প্রকার,বহুকোষী জীব
9-10-biology_secondary-2-133,2,তিমি মাছ,প্রকার,বহুকোষী জীব
9-10-biology_secondary-2-137,2,ক্যারিওকাইনেসিস,অবস্থান,নিউক্লিয়াসের বিভাজন
9-10-biology_secondary-2-137,2,সাইটোকাইনেসিস,অবস্থান,সাইটোগ্লাজমের বিভাজন
9-10-biology_secondary-2-137,2,কোষ,কাজ,নিউক্লিয়াসে কিছু প্রস্তুতিমূলক কাজ হয়
9-10-biology_secondary-2-137,2,ইন্টারফেজ,অবস্থান,বিভাজন শুরুর আগে
9-10-biology_secondary-2-14,2,মাইটোকন্ডিয়ার প্রধান কাজ,কাজ,জীবের শ্বসনকার্যে সাহায্য করা
9-10-biology_secondary-2-140,2,স্পিন্ডল যন্ত্র,অংশ,দুই মেরু
9-10-biology_secondary-2-140,2,স্পিন্ডল যন্ত্রের দুই মেরুর মধ্যবর্তী স্থান,কারণ,ইকুয়েটর বা বিষুবীয় অঞ্চল
9-10-biology_secondary-2-141,2,স্পিন্ডল তন্তু,অবস্থান,মেরু থেকে অপর মেরু পর্যন্ত
9-10-biology_secondary-2-141,2,স্পিন্ডলযন্ত্রের কিছু তন্তু,অবস্থান,স্পিন্ডল তন্তু সাথে
9-10-biology_secondary-2-141,2,আকর্ষণ তন্তু,কারণ,স্পিন্ডলযন্ত্রের কিছু তন্তুর সাথে সংযুক্ত হয়
9-10-biology_secondary-2-141,2,ক্রোমোজোম,অবস্থান,স্পিন্ডলযন্ত্রের কিছু তন্তুর সাথে সংযুক্ত হয়
9-10-biology_secondary-2-141,2,ক্রোমোজোমাল তন্তু,কারণ,ক্রোমোজোমের সাথে এই তন্তুগুলি সংযুক্ত বলে
9-10-biology_secondary-2-141,2,ক্রোমোজোম,অবস্থান,বিষুবীয় অঞ্চলে বিন্যস্ত হতে থাকে
9-10-biology_secondary-2-141,2,নিউক্লিয়ার মেমব্রেন,অবস্থান,কোষের নিউক্লিয়াসে
9-10-biology_secondary-2-141,2,নিউক্লিওলাস,অবস্থান,কোষের নিউক্লিয়াসে
9-10-biology_secondary-2-141,2,প্রাণিকোষ,কাজ,স্পিন্ডল যন্ত্র সৃষ্টি ছাড়াও পূর্বে বিক্্ত সেন্ট্রিওল দুটি দুই মেরুতে অবস্থান করে
9-10-biology_secondary-2-141,2,সেন্ট্রিওল,অবস্থান,প্রাণিকোষে
9-10-biology_secondary-2-141,2,রশ্মি,কারণ,সেদ্ট্রিওল দুটির চারদিক থেকে বিচ্ছুরিত হয়
9-10-biology_secondary-2-141,2,আযাস্টার-রে,কারণ,রশ্মি বিচ্ছুরিত হয়
9-10-biology_secondary-2-143,2,সব ক্রোমোজোম সিপিন্ডল যন্ত্রের বিষুবীয় অঞ্চলে,অবস্থান,অবস্থান
9-10-biology_secondary-2-143,2,প্রতিটি ক্রোমোজোমের সেস্ট্রোমিয়ার বিষুবীয় অঞ্চলে,অবস্থান,অবস্থান
9-10-biology_secondary-2-143,2,প্রতিটি ক্রোমোজোমের বাহু দুটি,অবস্থান,মেরুমুখী হয়ে অবস্থান
9-10-biology_secondary-2-144,2,ক্রোমোটিড,অবস্থান,অপত্য ক্রোমোজোম
9-10-biology_secondary-2-144,2,অপত্য ক্রোমোজোম,কারণ,সেস্্রোমিয়ার থাকে
9-10-biology_secondary-2-144,2,অপত্য ক্রোমোজোম,কাজ,বিষুবীয় অঞ্চল থেকে পরস্পর বিপরীত মেরুর দিকে সরে যাওয়া
9-10-biology_secondary-2-145,2,অপত্য ক্রোমোজোম,অবস্থান,মেরু অভিমুখী চলনে সেস্ট্রোমিয়ার অগ্রগামী
9-10-biology_secondary-2-145,2,অপত্য ক্রোমোজোম,অবস্থান,বাত্ধদ্বয় অনুগামী
9-10-biology_secondary-2-145,2,ক্রোমোজোম,অবস্থান,"ছ, 1, ] বা 17-এর মতো আকার ধারণ"
9-10-biology_secondary-2-145,2,সেন্ট্রোমিয়ার,অবস্থান,অনুযায়ী ক্রোমোজোমগুলো আকার
9-10-biology_secondary-2-145,2,সেন্ট্রোমিয়ার,কারণ,ক্রোমোজোমগুলো আকার
9-10-biology_secondary-2-145,2,অপত্য ক্রোমোজোম,অবস্থান,স্পিন্ডলযন্ত্রের মেরুপ্রান্তে
9-10-biology_secondary-2-148,2,বিষুবীয় তলের জালিকার অংশগুলো,অবস্থান,টেলোফেজ পর্যায়ের শেষে বিষুবীয় তলে
9-10-biology_secondary-2-148,2,জালিকার অংশগুলো,কাজ,কোষপ্লেট গঠন
9-10-biology_secondary-2-148,2,সাইটোগ্লাজমিক অঙ্গাণুসমূহ,কাজ,সমবণ্টন
9-10-biology_secondary-2-148,2,কোষৰিল্লি,অবস্থান,স্পিন্ডলযন্ত্রের বিষুবীয় অঞ্চল বরাবর
9-10-biology_secondary-2-148,2,কোষৰিল্লি,কাজ,গভীরতর হয়ে একত্রে মিলিত হয়
9-10-biology_secondary-2-150,2,গিঁট,অবস্থান,সেন্ট্রোমিয়ারের মডেল
9-10-biology_secondary-2-150,2,বাহু,অংশ,চারটি
9-10-biology_secondary-2-150,2,বাহু,কাজ,ক্রোমাটিডের দৈর্ঘ্য সমান
9-10-biology_secondary-2-150,2,বাহু,অবস্থান,সেন্ট্রোমিয়ার থেকে
9-10-biology_secondary-2-16,2,ধাপ,অবস্থান,মাইটোকন্ড্রিয়ার মধ্যে
9-10-biology_secondary-2-16,2,শ্বসনের ধাপ,কাজ,ক্রেবস চক্রে অংশগ্রহণকারী উৎসেচক উপস্থিত থাকায় বিক্রিয়াগুলো মাইটোকন্ড্রিয়াতেই সম্পন্ন হয়
9-10-biology_secondary-2-16,2,ক্রেবস চক্রের ধাপ,কাজ,শত্তি উৎপাদন
9-10-biology_secondary-2-16,2,মাইটোকন্ডিয়া,কারণ,কোষের শত্তি উৎপাদন কেন্দ্র বা পাওয়ার হাউস বলা হয়
9-10-biology_secondary-2-18,2,প্লাস্টিড,কাজ,খাদ্য প্রস্তুত করা
9-10-biology_secondary-2-18,2,প্লাস্টিড,কাজ,খাদ্য সঞ্চয় করা
9-10-biology_secondary-2-18,2,প্লাস্টিড,কাজ,উদ্ভিদদেহকে বর্ণময় এবং আকর্ষণীয় করে পরাগায়নে সাহায্য করা
9-10-biology_secondary-2-18,2,ক্লোরোপ্লাস্ট,প্রকার,সবুজ রঙের প্লাস্টিড
9-10-biology_secondary-2-18,2,ক্লোরোপ্লাস্ট,কারণ,00100701850
9-10-biology_secondary-2-19,2,প্লীস্টিডের গ্রানা,অবস্থান,ঠঁ রাসায়নিক শত্তিত
9-10-biology_secondary-2-19,2,প্লীস্টিডের গ্রানা,কাজ,সূর্যালোককে আবদ্ধ করে
9-10-biology_secondary-2-19,2,আবদ্ধ সৌরশক্তি,অবস্থান,স্ট্রোমাতে
9-10-biology_secondary-2-19,2,উৎসেচক,অবস্থান,স্ট্রোমাতে
9-10-biology_secondary-2-21,2,রঙিন প্লাস্টিড,কাজ,"ফুল, পাতা এবং উদ্ভিদের অন্যান্য অংশ আকর্ষণীয় করার সাহায্য"
9-10-biology_secondary-2-21,2,রঙিন প্লাস্টিড,কাজ,পরাগায়নে সাহায্য
9-10-biology_secondary-2-26,2,এন্ডোপ্লাজমিক রেটিকুলাম,কাজ,প্রোটিন সংশ্লেষণের ঘটনার ঘটনার পথ
9-10-biology_secondary-2-26,2,এন্ডোপ্লাজমিক রেটিকুলাম,কারণ,কোষগহ্বর সৃষ্টিতে এসন্ডোপ্লাজমিক রেটিকুলামের গুরুত্বপূর্ণ ভূমিকা রয়েছে
9-10-biology_secondary-2-26,2,এন্ডোপ্লাজমিক রেটিকুলাম,প্রতিরোধ,প্লাজমা মেমব্রেনের সাথে যুক্ত থাকে
9-10-biology_secondary-2-27,2,কোষগহ্বর,অবস্থান,কোষের মধ্যে
9-10-biology_secondary-2-27,2,কোষগহ্বর,কাজ,কোষরস ধারণ
9-10-biology_secondary-2-27,2,কোষগহ্বর,প্রকার,বৃহৎ কোষণগহ্র
9-10-biology_secondary-2-27,2,কোষগহ্বর,প্রকার,"অজৈব লবণ, রঞ্জক পদার্থ, পানি"
9-10-biology_secondary-2-29,2,লাইসোজোমের পর্দা,কারণ,অঙ্গাগুলো নষ্ট হয়ে যায়
9-10-biology_secondary-2-29,2,অঙ্গাগুলো,কারণ,কোষটিই মারা যায়
9-10-biology_secondary-2-30,2,কোষকঙ্কাল,কারণ,কোষটিকে ধরে রাখে
9-10-biology_secondary-2-30,2,কোষকঙ্কাল,অংশ,অসংখ্য দড়ির মতো বস্তু
9-10-biology_secondary-2-30,2,কোষকঙ্কাল,কাজ,কোষের চারদিকে জালের মতো ছড়িয়ে রয়েছে
9-10-biology_secondary-2-30,2,কোষকঙ্কাল,সংজ্ঞা,লম্বা এবং মোটা-চিকন মিলিয়ে
9-10-biology_secondary-2-32,2,রাইবোজোম,অবস্থান,প্রাণী এবং উদ্ভিদ কোষে
9-10-biology_secondary-2-32,2,রাইবোজোম,কাজ,প্রোটিন সংশ্লেষণে সাহায্য
9-10-biology_secondary-2-32,2,রাইবোজোম,কাজ,উৎসেচক সরবরাহ
9-10-biology_secondary-2-32,2,উৎসেচক,কাজ,প্রাণরাসায়নিক বিক্রিয়ার গতি বাড়িয়ে দেওয়া
9-10-biology_secondary-2-32,2,মাইটোকন্ডরিয়ার ম্যাট্রিক,অবস্থান,রাইবোজোম
9-10-biology_secondary-2-32,2,প্লাস্টিডের স্ট্রোমাত,অবস্থান,রাইবোজোম
9-10-biology_secondary-2-32,2,রাইবোজোম,অবস্থান,এঁ অঙ্গাণুসমূহের ডিএনএ-এর সংকেত অনুযায়ী প্রোটিন সংশ্লেষণে অংশ নেয়
9-10-biology_secondary-2-32,2,ব্যাকটেরিয়া কোষের সাইটোপ্লাজমে,অবস্থান,রাইবোজোম
9-10-biology_secondary-2-32,2,রাইবোজোম,কাজ,প্রোটিন সংশ্লেষণ
9-10-biology_secondary-2-33,2,অঙ্গাণু,অবস্থান,সেন্ট্রিওলের চারপাশে
9-10-biology_secondary-2-33,2,সেন্ট্রোল,অবস্থান,সেন্ট্রোজোমে
9-10-biology_secondary-2-33,2,সেন্ট্রোক্ষিয়া,অবস্থান,সেন্ট্রোলের চারপাশে
9-10-biology_secondary-2-33,2,সেস্ট্রোক্ফিয়া,অবস্থান,সেন্ট্রোলের চারপাশে
9-10-biology_secondary-2-33,2,সেন্ট্রোজোম,কাজ,কোষ বিভাজনের চিত্র
9-10-biology_secondary-2-34,2,ফ্লাজেলা,অংশ,বিভিন্ন ধরনের
9-10-biology_secondary-2-35,2,নিউক্লিয়াস,অবস্থান,রক্তকোষে
9-10-biology_secondary-2-35,2,নিউক্লিয়াস,কাজ,বিপাকীয় কার্যাবলি নিয়ন্ত্রণ
9-10-biology_secondary-2-35,2,নিউক্লিয়াস,প্রকার,বংশগতির বৈশিষ্ট্য নিহিত
9-10-biology_secondary-2-35,2,নিউক্লিয়ার ঝিল্লি,অবস্থান,নিউক্লিয়াসকে ঘিরে
9-10-biology_secondary-2-35,2,নিউক্লিয়ার ঝিল্লি,কারণ,নিউক্লিয়াস এবং সাইটোগ্লাজমের মধ্যে বস্তু চলাচল নিয়ন্ত্রণ
9-10-biology_secondary-2-35,2,নিউক্লিয়ার ঝিল্লি,কারণ,নিউক্লিয়াস এবং সাইটোগ্লাজমের মধ্যে বস্তু পৃথক রাখা
9-10-biology_secondary-2-35,2,নিউক্লিওপ্লাজম,কারণ,নিউক্লিয়াসের বস্তু রস
9-10-biology_secondary-2-36,2,নিউক্লিওলাস,অবস্থান,নিউক্লিওপ্লাজমের মধ্যে
9-10-biology_secondary-2-36,2,নিউক্লিওলাস,কাজ,"চা, ও প্রোটিন দিয়ে তৈরি হয়"
9-10-biology_secondary-2-36,2,নিউক্লিওলাস,কাজ,রাইবোজোম সংশ্লেষণ করে
9-10-biology_secondary-2-37,2,ক্রোমাটিন,কাজ,জেনেটিক বৈশিষ্ট্যসমূহ বংশপরম্পরায় সঞ্চারিত হওয়ার মাধ্যম হিসেবে কাজ করে
9-10-biology_secondary-2-37,2,ক্রোমাটিন,অবস্থান,কোষের নিউক্লিয়াসে
9-10-biology_secondary-2-38,2,তন্ভুগুলো,কারণ,একসাথে ক্রোমাটিন জালিকা খুলে যায়
9-10-biology_secondary-2-38,2,ক্রোমাটিনগুলো,কাজ,আরো মোটা হয়
9-10-biology_secondary-2-38,2,ক্রোমাটিনগুলো,কারণ,একটি বাহু আলাদা আলাদা কাঠামো হিসেবে চিহ্নিত করা সম্ভব
9-10-biology_secondary-2-39,2,ক্রোমোজোম,অংশ,ক্রোমাটিড
9-10-biology_secondary-2-39,2,ক্রোমাটিড,অংশ,সেস্ট্রোমিয়ার
9-10-biology_secondary-2-39,2,সেস্ট্রোমিয়ার,অবস্থান,ক্রোমাটিডের (প্রায়) মধ্যবর্তী অংশ
9-10-biology_secondary-2-39,2,ক্রোমাটিড,অংশ,তার দুটি বাহু
9-10-biology_secondary-2-39,2,সেস্ট্রোমিয়ার,অবস্থান,ক্রোমাটিডের উভয় পাশে
9-10-biology_secondary-2-39,2,কাইনেটোকোর,কাজ,সেস্ট্রোমিয়ারের যে অংশে স্পিন্ডল যন্ত্রের মাইক্রোটিউবিউল এসে যুক্ত হয়
9-10-biology_secondary-2-40,2,কাজ,প্রকার,উদ্ভিদ ও প্রাণীর কাজ
9-10-biology_secondary-2-41,2,এককোষী প্রাণী,কাজ,"দেহের সব ধরনের ক্রিয়াকলাপ-খাদ্যগ্রহণ, দেহের বৃদ্ধি ও প্রজনন"
9-10-biology_secondary-2-42,2,কোষ,অংশ,একত্রিত হয় এবং একই কাজ করে
9-10-biology_secondary-2-42,2,টিস্যু,প্রকার,তিন ধরনের
9-10-biology_secondary-2-42,2,টিস্যু,প্রকার,সরল টিস্যু
9-10-biology_secondary-2-42,2,টিস্যু,প্রকার,জটিল টিস্যু
9-10-biology_secondary-2-43,2,সরল টিস্যু,অবস্থান,স্থায়ী টিস্যুর প্রতিটি কোষ
9-10-biology_secondary-2-43,2,সরল টিস্যু,প্রকার,প্যারেনকাইমা
9-10-biology_secondary-2-43,2,সরল টিস্যু,প্রকার,কোলেনকাইমা
9-10-biology_secondary-2-43,2,সরল টিস্যু,প্রকার,স্কেরেনকাইমা
9-10-biology_secondary-2-46,2,ফ্লুরেনকাইমা টিস্যু,অবস্থান,কোষগুলোতে
9-10-biology_secondary-2-46,2,ফ্লুরেনকাইমা টিস্যু,কাজ,দুই ধরনের কোষ প্রদান করা
