token,count,proposed,auto_corroborated,decision
ইচ্ছাশস্তির,1,ইচ্ছাশক্তির,,
চিন্তাশস্তি,1,চিন্তাশক্তি,,
মাদকাসস্তির,1,মাদকাসক্তির,,
মাদকাসস্তি,1,মাদকাসক্তি,,
স্ত্রীস্তবক,1,ক্ত্রীক্তবক,,
স্তবকগুলো,1,ক্তবকগুলো,,
স্তবকই,1,ক্তবকই,,
স্ত্রীপতবকের,1,ক্ত্রীপতবকের,,
স্তবককে,1,ক্তবককে,,
পুংস্তবকে,1,পুংক্তবকে,,
পুংস্তবকের,1,পুংক্তবকের,,
স্ত্রীদ্তবক,1,ক্ত্রীদ্তবক,,
স্ত্রীজননকোষ,1,ক্ত্রীজননকোষ,,
স্ত্রীজনন,1,ক্ত্রীজনন,,
স্ত্রীদেহের,1,ক্ত্রীদেহের,,
আাস্ত্রোজেন,1,আাক্ত্রোজেন,,
অভিতব্যস্তির,1,অভিতব্যক্তির,,
বংশগতিবস্তু,1,বংশগতিবক্তু,,
বংশগতিবস্তুর,1,বংশগতিবক্তুর,,
শনাস্তকরণ,1,শনাক্তকরণ,,
শনাস্তকারী,1,শনাক্তকারী,,
অভিতব্যস্তি,1,অভিতব্যক্তি,,
বহিঃস্তরে,1,বহিঃক্তরে,,
ব্যস্তিসতরে,1,ব্যক্তিসতরে,,
শিলাস্তরে,1,শিলাক্তরে,,
প্রস্তরীভূত,1,প্রক্তরীভূত,,
বাস্তুত্্র,1,বাক্তুত্্র,,
বাস্তুতন্দ্র,1,বাক্তুতন্দ্র,,
বাস্তুতন্তকে,1,বাক্তুতন্তকে,,
বাস্তুতন্দর,1,বাক্তুতন্দর,,
আস্ত,1,আক্ত,,
দ্বিতীয়স্তরের,1,দ্বিতীয়ক্তরের,,
তৃতীয়স্তরের,1,তৃতীয়ক্তরের,,
সর্বোচ্চস্তরের,1,সর্বোচ্চক্তরের,,
খাদ্যশস্তি,1,খাদ্যশক্তি,,
বাস্তুতন্ত্ের,1,বাক্তুতন্ত্ের,,
পুষ্টিস্তরের,1,পুষ্টিক্তরের,,
শনাস্তকরণযোগ্য,1,শনাক্তকরণযোগ্য,,
বাস্তুতান্দ্রিক,1,বাক্তুতান্দ্রিক,,
বাস্তুতম্তের,1,বাক্তুতম্তের,,
বাস্তুতন্ত্রকে,1,বাক্তুতন্ত্রকে,,
বাস্তব,1,বাক্তব,,
স্মস্তিত,1,স্মক্তিত,,
জড়বস্তু,1,জড়বক্তু,,
মাইটোকস্তিয়া,1,মাইটোকক্তিয়া,,
শাস্তি,1,শাক্তি,,
বস্তুগুলো,1,বক্তুগুলো,,
স্তন্তের,1,ক্তন্তের,,
লবণাস্ত,1,লবণাক্ত,,
স্তম্ভ,1,ক্তম্ভ,,
স্তস্তের,1,ক্তক্তের,,
ত্বকস্তর,1,ত্বকক্তর,,
মস্তিস্ককে,1,মক্তিস্ককে,,
প্রস্তুতিমূলক,1,প্রক্তুতিমূলক,,
বাস্তবে,1,বাক্তবে,,
প্রস্তুতি,1,প্রক্তুতি,,
জৈবশস্তি,1,জৈবশক্তি,,
প্রস্তুতকরণে,1,প্রক্তুতকরণে,,
প্রস্তুতের,1,প্রক্তুতের,,
বস্তুরূপে,1,বক্তুরূপে,,
স্ত্রেবস,1,ক্ত্রেবস,,
উচ্চশস্তির,1,উচ্চশক্তির,,
খাদ্যপ্রস্তুত,1,খাদ্যপ্রক্তুত,,
দস্তার,1,দক্তার,,
বিপর্যস্ত,1,বিপর্যক্ত,,
বস্তুগুলোকে,1,বক্তুগুলোকে,,
বাস্তবমুখী,1,বাক্তবমুখী,,
স্তন্যদানকারী,1,ক্তন্যদানকারী,,
খাদ্যশস্তির,1,খাদ্যশক্তির,,
প্রস্তুতিকালে,1,প্রক্তুতিকালে,,
খাদ্যবস্তুগুলো,1,খাদ্যবক্তুগুলো,,
তিস্ত,1,তিক্ত,,
আস্তরিকগ্রন্থি,1,আক্তরিকগ্রন্থি,,
স্ষুদ্রাস্ত্রে,1,স্ষুদ্রাক্ত্রে,,
অস্ত্রের,1,অক্ত্রের,,
অস্বস্তিকর,1,অস্বক্তিকর,,
অস্ত্রে,1,অক্ত্রে,,
অস্বস্তিবোধ,1,অস্বক্তিবোধ,,
বিস্তারে,1,বিক্তারে,,
নিস্তেজ,1,নিক্তেজ,,
প্রস্তুতকৃত,1,প্রক্তুতকৃত,,
প্রস্তৃতসহ,1,প্রক্তৃতসহ,,
জীবনীশস্তির,1,জীবনীশক্তির,,
স্তরটিতে,1,ক্তরটিতে,,
সারবস্তু,1,সারবক্তু,,
দুশ্চিন্তাগ্রস্ত,1,দুশ্চিন্তাগ্রক্ত,,
ফুসকুড়িযুস্ত,1,ফুসকুড়িযুক্ত,,
প্রস্তুতকারী,1,প্রক্তুতকারী,,
বস্তুকণা,1,বক্তুকণা,,
অস্ত্রোপচার,1,অক্ত্রোপচার,,
